"","Adipocytes","Astrocytes","B_cells.Class.switched_memory","B_cells.Memory","Chondrocytes","CLP","CMP","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","GMP","HSC","Keratinocytes","Macrophages","Macrophages.M1","Macrophages.M2","Megakaryocytes","Melanocytes","MEP","Mesangial_cells","Monocytes","MPP","mv_Endothelial_cells","Myocytes","naive_B_cells","Neurons","Neutrophils","NK_cells","Pericytes","Plasma_cells","Preadipocytes","Skeletal_muscle","Smooth_muscle_cells","T_cells.CD4.","T_cells.CD4._central_memory","T_cells.CD4._effector_memory","T_cells.CD8.","T_cells.CD8._Central_memory","T_cells.CD8._effector_memory","T_cells.Tregs"
"507","TPM1","SEPT9","RPL18A","SIGLEC6","ANLN","ZNF45","KPNA2","CYP51A1","DPYSL2","AGER","KHSRP","GTF2A2","SLC2A1","SPTBN1","C11ORF1","KIAA1522","PEBP1","COMT","PRDX1","TPM4","ITGA6","PLIN2","SEPT9","RETN","CREB3L4","PLEC","P4HA1","GNG2",NA,"MPZL1","HIST1H2BH","SNTB1","SLC38A1","ZNF521","CBX7","TRPV2","CD38","SRGN","RPL36A","STMN1","NLRC3","RPS18","SLC14A1"
"508","CYBA","TNFRSF10D","CD82","RPL22","C9ORF3","CP","HK2","IMPDH1","TMSB4X","ANKRD33B","SLC39A14","SNRPN","SNORA53","ABCA2","ISYNA1","DUOXA1","NEK6","SYNGR1","CYB5A","ZNF185","DDX60L","CDC45","SLC25A23","JDP2","INPP4B","IFI6","TNFRSF1A","MKNK2",NA,"YPEL3","DUSP6","SLC7A2","KCNK6","FRAS1","HOMER2","CLIC1","CCDC144A","CD84","HSF4","GYPC","RPL35","SAMHD1","ST8SIA6"
"509","PGRMC1","HOXB3","CD70","CKAP4","IGFBP7","IL15RA","KANSL1L","LMNB1","NOS3","FERMT3","CHD7","UCK2","CYBA","GEN1","RGS14","HIST1H4C","SERPINA1","SH3BGRL3","P2RY12","COX6C","GSTP1","MPST","EFNB2","TFEC","PEX16","ZEB1","CTNNA1","ITGB2",NA,"ST20","RAMP1","PDIA4","DPP7","CXCL1","TMEM52","NOV","EEF1B2","FAM153C","SLA","MYC","CLIP4","NR3C2","JSRP1"
"510","CD99","HIST1H2AE","WDR34","STEAP1B","KCNQ5","FAR2","OSCAR","SOD2","SQLE","CHST15","NEDD9","FAM89A","MAOA","TFEC","CYSTM1","MRPL12","CCR5","BOLA3","ZNF117","HBEGF","TMEM140","TMEM134","EPDR1","TRPS1","CTNNA1","ZNF366","PALM2-AKAP2","SIPA1L3",NA,"B3GNT8","SYT11","HIST1H3E","SYNJ2BP-COX16","COTL1","AIMP2","AP1S1","SLC12A6","CENPK","NOS3","ARRB2","GBP1","HIST1H2BJ","FMNL1"
"511","NRP2","MILR1","LDHB","CRIP3","ISM1","PNPLA4","CDC20","DMXL2","DAPK3","ZYX","FKBP5","FANCI","MT1E","U2AF1L4","TNFSF10","HSP90AB1","DNASE2","G0S2","CORO2A","GTF2E1","VAT1","RAB33A","BGN","GPSM3","RPL10A","IER3","METRN","RPS8",NA,"CEACAM1","ZNF516","S1PR3","KLF2","GLIS3","ASS1","PLIN2","CYTH1","MAP3K1","S100A10","CKS2","HIST1H1B","MSC","HIST1H3J"
"512","ABHD5","DNLZ","MCM6","RAPGEF1","EGFR","PSMA2","CIT","LAD1","DUSP4","CSK","FKBP8","KIF18A","GATA6","P2RX1","ABCA13","ODC1","RETN","RAPGEF1","NIPAL1","SERPINE1","SLC22A18","RGL4","FGB","PLCB1","BIN1","IFI44","TNFRSF10D","RPL22",NA,"REPS2","LINGO2","SEPT9","VAV1","CALHM2","CAMK2D","HIST1H4A","ARRDC5","LIMS1","TCEA3","DHRS3","LPAR3","IFITM2","PREX1"
"513","C12ORF57","HIST1H3J","MYO1D","AGAP3","TNXB","C10ORF32","HIST2H2AA4","GPR137B","SLC35F2","UPP1","LONP1","PNP","CD276","RCSD1","CKS1B","SH3BP1","RPS6KA2","RNF130","EIF3CL","CTNNA1","CLIC1","FADS3","ITGA5","FYN","CRBN","PNP","PGM5","CCR6",NA,"ARAP1","ST8SIA6","CD151","CPXM1","MYO1C","CCDC28B","PRKY","CCDC64","RPL36A","DENND5A","NPM1","E2F3","CRIM1","GABARAPL1"
"514","SLC41A2","CDK2AP1","RPS21","C12ORF42","ARHGAP21","CLK1","FCGRT","CD44","IER3","REC8","CD81","PHB","FOXM1","ACER3","HPGDS","ARHGDIB","HSPA1A","APOL3","PPT1","EIF2S1","KAT2B","IMPDH2","ITPR3","ZYX","LRP10","LGALS3BP","EFEMP2","TRAF4",NA,"FBXL13","B4GALT6","GPX8","OSBPL10","TIMP4","DGKZ","KRT18","RPL32","JSRP1","INF2","SCARNA23","PIEZO1","GK5","MPST"
"515","FCGR2B","CELSR1","RHOBTB2","RPL13","HAPLN3","SYNJ2BP-COX16","GYPC","S100A10","SLC40A1","AREG","PTPRU","RAN","PRKG1","HSPBP1","CES4A","TMSB10","LDHB","GPC4","TUBA1A","PLA2G15","TUBA1A","C7ORF73","CKAP4","RPL26","LUZP1","PMP22","RGMB","RPL13",NA,"IGF1R","DOCK10","TNFRSF10A","FANCA","TRAM2","TEAD4","METRNL","CHD7","PIEZO1","FAM107B","COL18A1","SPATA13","HIST1H3B","CCNG2"
"516","ID4","GDF15","BIN1","SNORA70B","C10ORF54","FLT3","SSBP2","CASP7","C1ORF115","CROCC","SCD5","BRCA1","CDC42EP1","RNF125","TSPAN7","TOM1L1","CTNNA1","ASPHD1","HILPDA","TAF9","PARP10","CORO1A","PEG10","ITGA5","PLAGL1","CDKN2A","ZEB2","BEND5",NA,"CCDC88B","HLA-E","ADAMTS6","CLN6","CYP19A1","ACO2","PREX1","RPS23","CERS6","EPHA4","HIST1H2AM","RHOC","TP53I13","RAB37"
"517","RGS2","NRP2","RPL13","GDPD5","PHGDH","PSMB8","ANXA6","FKBP1B","ITGB1","AHNAK","SLC35F2","SLC25A5","TCEAL7","RPSAP58","EBP","C1QBP","PTAFR","GALM","CD44","GMNN","VDAC1","GGCT","SDF4","RPL10A","TRMT1L","PYCR1","LAMA4","CASZ1",NA,"COTL1","CASP10","CACNA2D1","TUBA4A","LAMA5","PAM","CD81","C5ORF63","CCL5","HIST1H2BD","CCDC64","RPS16","CD99","KCNA3"
"518","PTPRG","ADAMTS2","SAMSN1","ZNF516","KAZALD1","MSI2","RPS4X","NAV1","RUNX1T1","ACSF2","TSPAN3","PRDX1","CDC42EP3","PCYOX1","UTP11L","SEPW1","AHRR","IFI27","VAT1","CLEC2B","IGF2R","MTFP1","SERINC2","DPYSL2","CXCL2","VWA1","SPATS2L","RPSA",NA,"PAK1","VAMP8","CLIC1","ALDH18A1","ANXA6","USP53","EPDR1","KANK1","HIST1H2BJ","PSTPIP1","CD248","RPS26","CEP78","CARD11"
"519","ADAP2","PMP22","ZBTB32","AKT3","NEDD4L","TIMM13","HIST1H3H","HLA-E","THSD1","CHST12","FBLN1","BCCIP","PBX1","MCTP2","RAB3IP","GLUL","C1ORF54","ISOC2","SCIN","NFKBIZ","ANK2","CAPG","CELSR2","APP","NDUFS4","HIST1H4A","IL33","DENND3",NA,"GMIP","BOK","MARCH3","MXD4","ATP2B4","ALDH2","TUBA1A","GABBR1","PDE3B","SIRPG","UGCG","SLC27A3","HIST1H2AJ","PTGER2"
"520","TMBIM1","NIPSNAP1","SNORA16B","C1ORF228","VWA5A","TAGLN2","GOLGA8B","MPHOSPH6","CDH11","FNDC3B","EIF3CL","TRIM10","S100A10","MAMDC2","ST3GAL1","PTK6","PRDX4","COX6C","PLEKHA6","CERS2","MICAL1","GNG5","EFEMP2","NFKBIA","VIM","C1ORF54","GXYLT2","CHD3",NA,"LIMD2","TNFRSF1B","TSPAN14","ALDH1L2","SMTN","PER1","GALNT12","TNFAIP8","ST8SIA1","CPNE7","KLF7","RCAN3","SNORA69","TXK"
"521","CD93","TINAGL1","RPSA","APLP2","CCNB1","NINJ2","C9ORF139","NAA25","HIST2H2AA4","MOB3A","TUFT1","MRPS9","IL13RA2","SPTAN1","TXNL1","CNTN1","PEA15","LAT","FCER2","EXOSC8","RDH11","HCST","NFE2L3","TESC","GFI1B","CDC42BPB","FKBP8","CYSLTR1",NA,"DPEP2","MXRA7","NEDD9","KDELR2","SNX21","SPRY1","AKT1","RPL26","OPTN","RHOC","PLAG1","COTL1","SPATA13","INPP1"
"522","NFIA","DACT1","SNORA70E","PVT1","PODN","C4ORF46","GNAQ","IRF1","SWAP70","ACOT11","NET1","TUBA4A","KLF4","MYC","CTNNA1","UBE2C","SKIL","PTGR1","GABARAPL1","ANXA3","CBR1","BEX1","RBM47","RPLP0","GGH","COX7A1","GLIPR1","EPB41L2",NA,"RNF130","ITGA4","ADORA2B","BCL2L1","COL16A1","CFLAR","CNN2","ZNF483","ITGA4","CAPN12","RPL35","MDGA1","IFITM3","FCRL1"
"523","DAPK1","FOXM1","ABHD5","PCBD1","TOP2A","EMCN","LMNB1","MYEOV2","DCHS1","NEDD9","CTBP2","CAST","PRRX2","PDIA5","IRF1","PRDX2","GGA2","GK","RBP7","CENPK","FARP2","HSD17B8","TUBA1A","CES1","LYRM4","PDLIM7","HGF","PDE4D",NA,"ZEB1","TMC6","DDIT4","NME1-NME2","MAPKAPK3","LDHB","CNTNAP1","JAK3","MTFP1","GSDMD","MFGE8","RGS1","PTMS","SCGB3A1"
"524","ENPP2","PLAUR","DAAM1","RRBP1","SNORD17","LRTOMT","MBOAT7","GSTP1","KIT","SLC16A14","EVPL","NDUFS4","PTGIR","METAP1D","EFNA1","F2RL1","ABCA1","HSP90AB1","B3GALTL","ESCO2","PPA1","DBN1","MITF","GSTP1","PCDH9","HSPA1A","OSTC","TRIM22",NA,"BEST1","RPL10A","TRIB1","ADORA2A","DYNC2H1","STRADB","TPST1","NLRC3","PVT1","MAP3K8","CHD3","IL6R","TNFRSF1A","ARID5B"
"525","PDLIM1","GCNT1","BCL2A1","LIME1","CCBE1","WIBG","TSGA10","CAMK1D","NBEAL2","TNFSF12","MPZL3","CYSTM1","FZD2","SIRPB2","FAM26F","SLC6A15","NLRC4","KIFC3","FAM213A","MED12L","SCARNA9","SASH3","SPTBN1","PELI2","FTX","LAMP3","CYR61","SNORA16A",NA,"BCL3","DEF6","FBLN1","FAM193B","HMGCR","SYNE2","ALDOC","FAM105A","LMNA","MFHAS1","RPL18A","TMEM204","CYFIP2","MLLT3"
"526","AVPI1","MPV17L2","HIST1H4A","OBSCN","SCARNA6","UBE2E2","ANKRD28","CD58","RGS5","HLA-E","ACBD6","TAGLN2","CAMK2N1","GALK1","MIR17HG","LYPD3","STMN1","DNASE2","SVIL","TLN1","CASP1","CBR1","RNPEPL1","NME1-NME2","PHB","DENND3","FKBP5","WWC3",NA,"TUBA1A","DGKZ","PKN1","UNKL","IL17RC","ANK2","HIST1H2AI","GNAQ","HIST1H2AD","RASSF5","GPRASP1","SOX13","HLA-DMA","GALM"
"527","MRPL23","GBP2","LIME1","PXDC1","NDRG1","FXYD6","CYBA","NME1-NME2","SMAD1","NEK6","CST6","HCLS1","CAPG","BLNK","LCP2","C1QTNF1","PPM1M","HSPB1","STOM","DSTN","CDK4","FLNA","CLIC1","RAB37","PAICS","IGF2BP3","MYOZ2","CTSS",NA,"MPP1","RNF165","VEPH1","AKAP2","TBX2","PLIN5","CD63","GNG2","SPINT2","GRAP2","HIST1H2AB","PIK3IP1","ATP2A3","KCNN4"
"528","SEPT11","SEPW1","RPS29","TNFSF13","HIST1H2AI","CHRNB1","DNM2","CD81","ABCA6","HIF1A","DPP4","RPL18A","CD99","FAM216A","P2RX1","PHLDA2","ADAP2","NME1","CLIC4","LGMN","MOCOS","RAP2B","HS3ST3B1","JUN","AKAP7","TMEM140","DAPK3","RFTN1",NA,"WIPF1","GABARAPL1","VGLL3","SLC38A5","HMCN1","ZBTB20","CD59","PVT1","RPL35","SLC39A8","RPL23A","SSBP4","DEF6","MICAL2"
"529","CREG1","GATA2","BLVRA","ABCG1","SLC1A4","TRH","ST3GAL4","PRR5L","SEMA3G","FAM49A","LDHB","YPEL4","SGK1","MCM4","RPL10","STXBP2","SULF2","UPP1","FAM110B","ST6GAL1","ATP10B","CST7","HIST1H1D","LILRA6","RABEP2","CNN2","MGP","MASTL",NA,"SCARNA14","GBP4","GK","EML2","RPSAP52","AGL","TIMP2","RPS4X","GNA15","BAIAP3","CDKN2D","HIST2H4A","GOLGA8B","RPS16"
"530","ANTXR2","HHIPL1","PPM1L","HLA-E","TRIO","KCNAB2","CCNB2","CASZ1","HIST1H2BN","PIEZO1","C8ORF4","BET1","CCL2","ZDHHC16","ICAM4","RPL4","BST1","SNCA","LDHB","UBA7","HLA-E","DEGS2","HIST1H3A","KSR1","SDPR","IFITM3","P2RX6","CDK6",NA,"PCBP1-AS1","LUZP6","VDR","IL15RA","SNAI2","DHRS7C","CTNNA1","ZNF347","NR3C2","RPL23A","TNIK","CPNE2","MGAT4A","CMTM3"
"531","MT1M","HIST1H4E","SSBP3","SAMSN1","AJUBA","RAB3D","H1FX","BCL6","CPD","C1RL","HIST2H2AA4","OPTN","CLIC1","POLD2","MALAT1","IL1R2","ITGA6","ST14","TLE1","CRBN","RPL10A","HLA-DQA1","HOXA7","CAPN2","NBPF15","ACTN4","C10ORF10","CSRNP1",NA,"LRCH4","PSTPIP1","LOXL1","CLASRP","SNORD17","SLC29A2","TMSB10","MAPK8IP3","ANXA6","GABARAPL1","LEPROTL1","RPSAP58","PIK3R5","CNTNAP1"
"532","ANXA6","SEMA7A","HIST3H2BB","ZNF318","C1QTNF5","TOP1MT","RPL10A","PIK3R5","FAM174B","C7ORF50","NREP","CD59","NFIX","MPL","NME1","IFNGR2","TUBA1A","EGR2","MPP1","NME1-NME2","DDR2","NET1","LITAF","RPL22","RPSAP58","HIST2H2AA4","PEG10","CYBA",NA,"REM2","CYFIP2","SLFN11","ABLIM1","PTPN13",NA,"TRIOBP","PPA1","PPFIBP2","FBLN7","RPL32","ABCD2","NCR3","FAM107B"
"533","APOL3","PTGFRN","SGPP1","RPSA","MIR100HG","ALOX5AP","GCA","TSPAN3","PRC1","FAM65A","ITGB8","TMEM126A","SLC40A1","ETV6","TMEM92","PKMYT1","ADORA3","RPLP0","KMO","RNF14","TK1","ACOT7","NOTCH2","CD300C","TXNIP","ST6GAL1","C10ORF54","GGA2",NA,"VAV1","TMEM71","BNC1","RCBTB2","COL5A1",NA,"CARD16","RPL23A","LSR","LINC00426","RPL37","NLRC5","RAP1GAP2","MAST4"
"534","NQO1","CREB3L1","SIDT1","STAMBPL1","SQRDL","RPS14","STXBP2","NFKBIZ","DAPK1","GPR132","HIST1H2AK","CISD1","LAYN","SETD7","ANXA3","PPDPF","GPAT2","HLA-A","OSGIN1","SCPEP1","TMEM229B","STARD3","HIST1H3H","PLK3","PDK2","ALCAM","SEPT9","RPL26",NA,"ASPRV1","ATP9A","HIST2H2AB","PHF1","TRPS1",NA,"GDF15","AES","CHD3","MXRA7","HIST1H2BJ","EVL","COLQ","FAM134B"
"535","RHOBTB3","SKAP2","COL4A4","ABCA7","SYNM","SPTBN1","TNFSF13B","IRF5","MYH9","SEMA4A","H2AFY2","REXO2","SPON1","DCP1A","ENTPD3-AS1","RPL13","LILRB2","MAPK13","ATP6V0D2","MSN","GRINA","RAB3D","KCNMA1","HLA-E","SLC25A5","DOCK6","FBXW5","PIP5K1B",NA,"CEP19","RNF166","HERC2P4","UBA7","AK5",NA,"QPRT","TNFRSF10A","CHD7","PIEZO1","CST7","NUCB2","TNFSF8","MEI1"
"536","SLC39A8","TSPO","FAM65A","COL4A4","EMILIN1","LGMN","MLC1","UGCG","NRCAM","RGS2","SCRIB","RPL5","SCARNA6","TAF9","TFEC","CAPNS2","ARPC1B","PCBD1","FAM13A","XYLT2","H2AFX","GAPT","ACTN4","NOTCH2","CD68","TMSB10","IER3","EEF1B2",NA,"IFIT1","LITAF","SHMT2","CCDC167","CD109",NA,"S100A6","RPS27","PTGER4","SPINT2","GIMAP4","HLA-A","PDE4B","RPL5"
"537","ALDOC","FBLN1","HIST3H2A","MID1IP1","HIST2H2AA4","ERI2","MSH5","UPP1","ROBO1","SEPT1","HES1","SUCLG2","FAM180A","UBA7","ZMYND12","S100A6","BIRC3","CD97","AIM1","ZFAND1","MRPL23","GBGT1","TNFAIP2","CD99","SKAP2","FAP","PTGDS","RRBP1",NA,"ZNF117","PARP8","HIST1H1B","ZFAND4","PAK1",NA,"ARMCX2","CDC14A","TERC","PVT1","NOP58","KLF12","ZBTB16","RRM2"
"538","CD44","HIST2H2AC","PDE3B","ATXN1","MRPL23","COMMD9","ANXA2","FABP3","CC2D2A","PRKCB","NHP2","HHLA3","KDM5D","ATAT1","ELAVL4","FAM101A","CCL18","CLIC1","HSPG2","BCL2L1","C1QBP","C10ORF32","ST6GAL1","CDC42EP3","GAS7","HMGA1","TNS3","NIPAL2",NA,"IL17RA","SULT1B1","OGFRL1","MAF1","ADAMTS6",NA,"CCL2","ABCD2","GLUL","TRIM2","MT2A","PLCL2","HLA-A","SH2D2A"
"539","ACAT1","ARSI","HLA-E","CD84","P4HA1","RPS5","LINC00152","IQGAP1","DOCK6","CMIP","SPHK1","POLE2","MMP19","C2CD2","PHB","HIST1H2AK","EEPD1","C1QBP","MAOA","CCNA2","DNAJA4","SUCLG2","HOXD11","GCA","RNF130","MYH9","CAP2","PHLPP1",NA,"IQSEC1","SNORA71B","TMEM51","MBNL2","BICC1",NA,"NCOA7","NAIP","GPR174","PAG1","RPS23","RPL26","HLA-DOA","YPEL2"
"540","S100A10","H2AFY2","GRK6","CDKN2D","SPTAN1","SMYD3","CDCA5","SCARNA1","PRKAR2B","CAT","SULF2","RAB13","FJX1","IRF5","AMN1","PNP","EMP3","MS4A4A","PEBP1","DYNLL1","PROS1","BID","NT5E","RPS4X","ATP5L","PLK1","HIST1H2BL","PPP1R16B",NA,"RAB37","TNIK","CTSS","PABPC1L","CDC42BPB",NA,"GATA6","POU6F1","RAC2","MGST2","RPS21","SYTL3","RPL23A","GPSM3"
"541","C19ORF12","NR2F1","NME1-NME2","FBL","TXNIP","CD22","NFAM1","DPP9","CELF2","CD81","TIMP1","FAM213A","GLRX","KLRG1","CORO1A","BOLA3","KCNE3","KCNAB2","ACSS2","LYRM5","LINC00520","NDUFS4","PPP1R14B","RPL4","FAM3A","ANKRD36BP2","ALDH3B1","ANXA6",NA,"IL18R1","PAM","CD82","TNFRSF14","FOXL1",NA,"NOTCH2","TTC12","RIC3","IL4I1","RPS5","USP28","RPL5","ATP2A3"
"542","MYH9","PAFAH1B3","KCNH8","VOPP1","BCAT1","GGCT","PLEKHA5","RUFY3","VAMP5","CEACAM1","MGLL","HSP90AB1","GALNT5","BAALC","NAALADL2","HES1","KIFC3","TLR4","DNASE2","UBL4A","YES1","PHACTR1","LRP1","BCL3","PRDX1","NHP2","KRT18","C12ORF57",NA,"TECPR2","SLC27A3","PDZRN3","C16ORF74","NUSAP1",NA,"ADAM12","ZC3H12D","S100A11","RPLP0","DDIT4","FCGRT","RPS12","CHST7"
"543","GAS6","ARMCX2","FGL2","CRIP2","CNRIP1","IGFBP7","BPI","TMSB4X","CFH","NINJ1","CPD","ANXA1","MYO1B","TCEAL8","CD99","PXDN","IL18BP","ITGAV","MID2","C2ORF76","EPDR1","PHYHD1","PFKP","OLR1","ZNF780B","SDF4","SEPT4","ERBB2IP",NA,"TSPAN2","SNORA36B","PFN2","SLC44A1","GPC1",NA,"ARSI","CYTH4","ZNF827","FYN","FAM117B","PKIA","DGKZ","CTSH"
"544","PLEKHO2","TPM4","HIST1H2BJ","LDHB","SGMS2","OLA1","HIST1H2BM","NCF1","HMGA2","TBC1D9B","DUSP4","EPB41","SLC16A3","ETV5","MTHFSD","HMGA1","IQGAP1","VASP","ZYX","FUT8","ZFYVE16","CCND2","RBFOX2","LDHB","FBXW5","CALU","DMPK","STX7",NA,"ASPH","MAFF","ARHGAP24","IFNGR2","PAPPA",NA,"HIST2H4A","SYTL1","PLD6","NGFRAP1","PIK3CD","HIST1H2AE","IL2RG","PBX4"
"545","ZFP36L2","LTBP2","PITPNC1","DTX4","C12ORF75","TAF9","FAM195B","CMTM6","KLHL4","PLIN2","SEMA7A","MRPL45","INMT","FLNA","PLAC1","TAGLN3","LY75-CD302","CDKN2A","EPB41L2","GPX1","CBR3","LIMD2","MGLL","LMO2","C20ORF96","MGP","PMP22","RPS21",NA,"WAS","HLA-B","CDC6","SSR3","FOXM1",NA,"PKIA","SSTR3","CCND2","CD200R1","SPINT2","FUT7","ITGA5","TK1"
"546","DMXL2","RPLP0","PRKCI","COL9A2","HIST1H3H","ZC2HC1A","DPP7","HLA-C","DZIP1","HSPA1A","TNKS1BP1","RPL26L1","ADAM12","LINC00173","TMEM106C","CKS1B","RBP7","CCDC88A","MYH10","KIF20A","GLUL","PPP1R14A","PTMS","GLIPR2","ARPC4-TTLL3","TRIML2","AP1S1","ACSM3",NA,"FOSL2","RBM38","DBN1","BCKDK","CD151",NA,"USP9Y","PIK3R5","CACNA1I","PLD6","CDCA7","RPL36A","TMIGD2","ANXA6"
"547","GNB2","GTPBP3","TRIM22","ICOSLG","FGF2","MCM10","RPL36A","DENND1B","LDHB","STK10","HSP90AB1","AKR1B1","LARP6","OSTC","SPTAN1","TAGLN2","ST8SIA4","HIST1H2BO","TIAM1","PRUNE2","DDIT4","PSMB9","RAB11FIP1","CRTAP","SRPR","TRIOBP","CD81","NME1-NME2",NA,"SNORA79","ZNF600","NUAK1","GNB2","MT1A",NA,"DPYD","NPM1","HIST1H3A","EIF3E","MAN1C1","FAM107B","ADAMTS10","RPS4X"
"548","LGALS9","MYH9","ATXN1","JUP","RUNX1","C1ORF131","ENTPD1","TNFRSF1B","GRASP","PRKD2","MZT2A","CD53","CLEC2B","ELOVL6","ABHD1","KCNG1","ERBB2IP","KIAA1598","MVP","TMEM126A","DDX60","EIF3E","SCARA3","DSE","ELF1","DOC2B","SLC46A3","CYTH3",NA,"FUT7","CDKN2D","PHLDB1","GABARAPL1","STAMBPL1",NA,"LIMCH1","CBLB","IGSF9B","PPA1","NCF2","ITM2C","DENND3","CALHM2"
"549","PLXDC2","PCBP4","MILR1","MAPK8IP3","SLC16A4","CCND2","RPLP0","PLA2G7","PTPRS","RNF44","PDGFB","FBXO5","PHLDB1","GAMT","CHRDL1","ETS1","FKBP8","TUBA1A","CTNNA1","GOLT1B","NUSAP1","HIST3H2A","PRDX2","KDM6B","TUBA1A","HIST1H2BD","HES6","FAM126A",NA,"HIST2H2AA4","CRIM1","C15ORF52","DANCR","TMEM158",NA,"AK4","ZNF154","RPL23A","ATF7IP2","SUSD3","DENND5A","SLC27A3","TERC"
"550","C5AR1","HIST2H2AA4","DUSP1","NME1-NME2","SCARNA9","EMP1","SNX18","ATP1B3","FAT4","ACSM3","MARCKSL1","TGDS","RAMP1","PREB","PIK3IP1","GALNT6","TNFRSF1A","HMGN3","MECR","SWI5","SAMD9","CSF2RB","TSPAN3","IER2","POLA2","TNFRSF10B","CD14","KATNAL1",NA,"KCNJ2","IL12RB1","DMD","HMGN3","MMP1",NA,"DOK5","CNKSR2","FGD3","PLEK","PADI4","PPP2R2B","ANO9","RGL4"
"551","PIEZO1","KIF26B","HMOX1","SSPN","CLIC1","SCN3A","DNAJC5","LDHB","COL5A2","COL9A3","NEDD4L","TST","SLC7A5","RPL14","RHOC","PTGS2","GPR160","TSPO","CLIC1","COPS8","ECM1","DUSP10","CD81","PEA15","SASH3","RPLP0","MIR210HG","SPTBN1",NA,"GRK6","COLQ","MYOF","ANXA6","GPX8",NA,"AKAP12","RPL35","KANK1","RPL37","RPS17","LRIG1","CSAD","NLRC3"
"552","SORT1","LDHB","SLC1A5","C1ORF162","ALDH3A2","PLP2","RPSAP58","PTK2B","RPLP0","GNG2","HIST1H3J","PSMD14","MYH10","MX1","BRMS1L","NUPR1","KCNJ5","EMP3","EPN2","LSM5","G6PD","PDE4B","H2AFX","SH3BP2","NFKBIZ","PAM","SEPT11","TP53INP1",NA,"CYBA","FBL","PRR11","CERCAM","IGF2BP3",NA,"CD44","RASA3","RNF166","WNT7A","ROBO3","COMMD3-BMI1","IQGAP2","HIST1H3A"
"553","CELF2","ANTXR1","LMO2","ACSM3","RORA","VIM","PRKCB","DUSP1","WASF3","VCL","SHMT2","KIAA1586","HMGA1","CKS1B","PTPLAD1","EPAS1","PI4K2A","RPL10A","DYSF","MRPL35","NFKBIZ","C10ORF54","RHOD","CYP27A1","SUSD3","PLEK2","CLDN11","RPS19",NA,"FCGR1A","OPTN","RAB27B","LPXN","CD81",NA,"SQLE","S100A4","HSF4","C12ORF57","LPCAT2","GPR15","PIK3R1","INF2"
"554","DENND3","HSPB1","ADK","SLC25A29","TBX4","BANF1","KIF11","PNRC1","ADM","ATP6V0A1","TUBA1C","CLCN3","PDLIM1","HMGN2","ZNF706","RPS29","S100A6","HIST1H4D","KLHDC8B","CMC1","HIST1H2BG","TMEM53","WNT5B","HIST2H2AC","LXN","THSD4","TUBA1C","TNFSF8",NA,"IQGAP1","LDLR","HIST2H2AA4","RNASE6","AKT1",NA,"SYT7","JUN","OXNAD1","CORO7-PAM16","TTC39B","HIST1H3J","PREX1","DDIT4"
"555","ICAM2","LIF","TSTD1","EGR1","ZEB2","FCGR2A","RASAL3","TMCC2","GIPC1","KIAA0195","CSRP1","GALNT6","CDKN3","PRDX1","GYPC","SLC38A1","NCAPH","MDH1","STAMBPL1","MED20","ROBO1","NQO2","PCOLCE","RSL1D1","RPL13","ACE","TWIST1","CRIP1",NA,"STXBP2","KIR3DL2","NOTCH2","TRMT2A","CYFIP1",NA,"ALDH1L2","LIME1","DUSP1","NFKBIA","GPR155","PI16","NMUR1","HOXB2"
"556","FLT1","ETNK2","BTG2","GEN1","MCTP2","SKAP2","ZNF516","CLEC7A","PRDX1","IRF1","PTPN13","PVT1","TBX18","GGCT","RBM48","SQRDL","NUP214","IL7R","TMEM14C","PIM1","FERMT3","ACOT13","SORT1","EMR1","SGOL2","ARHGAP23","NALCN","EIF3E",NA,"ARHGEF11","LDHB","SLC22A4","MLKL","NEAT1",NA,"CNTNAP3B","HNRNPH1","EEF1B2","GADD45G","CCL5","PLEKHG3","PBXIP1","RAB30"
"557","GABARAPL1","ITGB8","FBL","ANKRD44","TCEA3","ANKRD7","ANKRD13D","PRDX1","FAM49A","MS4A3","SEL1L3","TMEM106C","CAV2","PSMB9","C9ORF43","PTAFR","NINJ1","ENPP2","TSPAN12","ZGLP1","PHLDA1","RNF130","GSTP1","GBP2","HDAC9","CDC45","IFI6","SYTL1",NA,"SIGLEC10","P2RY8","MLPH","FBXL8","ZEB2",NA,"STC1","DYRK2","NLRC3","B3GNT9","ATM","PRSS23","STX16-NPEPL1","AKNA"
"558","HIST1H4C","MGST2","PTK2B","PTPN18","GAS1","LEPROTL1","NAT6","RRAGD","TNFRSF10D","NAT6","PARD3","ELOVL1","SELENBP1","PSME2","FAM65B","CASP1","S100A10","KLHDC8B","HMG20B","EMP3","LRP1","MRPS26","LTBR","GRINA","MINPP1","HSPB1","NRCAM","EPHA4",NA,"APOBR","PKN1","AKR1B1","FBXO18","BUB1B",NA,"UQCRB","RBMS1","CYFIP1","EEF1B2","CCND2","HLA-C","ZBP1","ATP1B1"
