"","Adipocytes","Astrocytes","B_cells.Class.switched_memory","B_cells.Memory","Chondrocytes","CLP","CMP","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","GMP","HSC","Keratinocytes","Macrophages","Macrophages.M1","Macrophages.M2","Megakaryocytes","Melanocytes","MEP","Mesangial_cells","Monocytes","MPP","mv_Endothelial_cells","Myocytes","naive_B_cells","Neurons","Neutrophils","NK_cells","Pericytes","Plasma_cells","Preadipocytes","Skeletal_muscle","Smooth_muscle_cells","T_cells.CD4.","T_cells.CD4._central_memory","T_cells.CD4._effector_memory","T_cells.CD8.","T_cells.CD8._Central_memory","T_cells.CD8._effector_memory","T_cells.Tregs"
"37","C1S","MFAP5","SNORA34","SNORA65","CPA4","LYZ","GFI1","TYROBP","TGM2","ITGAX","SPINT1","CA1","PRKCDBP","HPGDS","LST1","PCSK9","LILRB4","SCARNA15","DHRS9","HBG1","BAMBI","KIT","S100A16","CCL3","BEX1","NTN4","DKK1","BANK1","NEFL","SNORA49","SNORA34","NID2","PPAPDC1B","VCAN","ATP2A1","C1S","SNORA84","SNORA84","LTB","SNORA7B","SNORA74B","SNORA74B","SCARNA8"
"38","NNMT","EFEMP1","SNORA65","SNORA37","LAMA4","HLA-DMA","SNORA74A","SNORA49","S100A16","SNORD22","ANXA3","HBE1","IGFBP4","PLAC8","MEG3","GJB3","HK3","SNORA7A","TYROBP","FCER1G","ERBB3","HLA-DRA","COL3A1","AIF1","RPS4Y1","ID1","COL12A1","SCARNA1","INA","SNORA52","SNORA65","DCN","HLA-DQA1","SNED1","MYF6","DKK3","BCL11B","SNORA37","SNORA11E","MPO","SNORA7B","SNORA10","SNORA10"
"39","MCAM","DKK3","SNORA7B","CD22","PRUNE2","STMN1","C1ORF228","AMICA1","GJA1","SNORA38","FSCN1","CDKN3","FKBP10","MEST","CD69","HIST2H2AA3","CRABP2","SNORA61","ABCG2","FCGR2A","LZTS1","NPR3","KIRREL","SNORA34","TRO","MMRN1","ITGBL1","SNORA34","PPP1R1B","FFAR2","SNORA7B","COL4A2","SDC1","THBS2","PDLIM3","TAGLN","RNU6ATAC","SNORA75","SNORA84","SNORA34","SNORA84","SNORA34","SNORA74A"
"40","PCK1","COL4A1","SCARNA8","SNORA80B","CLMP","GSTM1","SNORA61","NRP2","MMRN2","SNORA49","ALDH1A3","EIF1AY","IGFBP6","NKG7","MDK","DMKN","AQP9","SNORA81","NCAPH","GP1BA","L1CAM","MEIS1","DCBLD2","SNORA10","MYB","PTRF","CALD1","SNORA7B","CDH18","SNORA34","SCARNA1","THBS1","HLA-DRB1","AOX1","ACTN2","THBS1","SNORA37","SNORA13","RNU5D-1","LCK","SNORA34","SNORA65","SCARNA3"
"41","DPT","TUBB3","FCRL1","SNORA34","PIEZO2","NUCB2","SNORA38","CD80","EGFL7","LYZ","SERPINE1","UBE2T","PTRF","CD69","AMICA1","ANXA8L1","CD163","AQP9","SPOCD1","GP9","TUBB3","SYNGR1","TNFRSF12A","CYBB","PDE6G","FN1","FKBP10","SNORA52","DLG2","SNORA7A","SNORA15","MXRA8","PRDM1","HIST1H3C","MYBPC2","LRP1","SNORA5A","SNORA52","SNORA75","SNORA84","SNORA37","GZMB","SNORA52"
"42","C1QA","VCAN","SNORA5C","BLK","MEST","RHOH","SNORA81","SNORA7A","ARHGAP29","SNORA54","AGRN","AURKB","EMP1","HLA-DMA","HLA-DPA1","TINAGL1","SNORD10","KYNU","SNORD15B","THBS1","NQO1","HSH2D","HIST1H3E","SNORD15A","LST1","SEMA6B","CTGF","SNORD15A","GAD1","SNORD22","SCARNA8","CCND1","RGS1","ANPEP","ANKRD23","EMILIN1","SNORA71A","SNORA11D","SNORA13","SNORA71D","SCARNA1","SCARNA1","SNORA11B"
"43","IGFBP5","MXRA8","SNORA84","SNORA7B","OGN","EAF2","SNORA71D","SNORA61","LAMB1","FFAR2","F3","CCNB2","C1R","CLDN10","KIT","SERINC2","MS4A7","SNORA34","LYZ","CA2","IFI44L","PDE6G","TGFBI","CPVL","HLA-DOA","MMRN2","S100A16","SCARNA8","TSPAN7","LRRK2","SNORA14B","COL5A2","TNFRSF13C","IGFBP6","S100A1","RND3","SNORA38","SNORA49","SNORA38","ZAP70","SNORA74A","SNORA7B","RNU5D-1"
"44","C1R","UCHL1","SNORA52","SCARNA8","HIST2H2AA3","CD74","SCARNA22","IL4I1","AKAP12","DPEP2","TINAGL1","NGFRAP1","FSTL1","TPPP3","TRO","ANXA8","NCF2","SNORA49","SNORA54","CXCL2","MLPH","FAM124B","THY1","IFI30","HLA-DMA","HIST2H4A","IGFBP7","SNORA74B","PRKCG","SNORD15B","SCARNA3","FBN1","SYTL1","LAMB1","CASQ1","FSTL1","TC2N","SNORA38","SNORA21","SNORA71A","RNU5F-1","SNORA75","CD247"
"45","COL4A1","COL4A2","SNORA71D","RNU5E-1","C1S","KIT","SNORA74B","SNORA52","PTRF","SIGLEC8","ID1","PF4","POSTN","IGJ","MFAP4","G0S2","PDK4","SNORA6","SLC37A2","LAT","SDC3","ALDH1A1","COL8A1","SNORA74B","CD52","CAV2","HTRA1","CD79B","COX7A1","RNU5E-1","CD160","MMP14","ODF3B","SERPINE1","CA3","NNMT","SELL","SNORA11E","SNORA71D","RETN","SNORA71D","SNORA5C","LCK"
"46","APOE","MDK","SCARNA1","SNORA84","COL5A2","IL2RG","PIWIL4","LY75","PTX3","COL9A2","TNFRSF12A","WBP5","FBLN1","CD33","CD52","SLC7A5","SNORD15B","SNORA52","SNORA61","STON2","CXCL1","LAT2","FLNC","SNORA47","RHOH","EDN1","COL4A2","SNORA49","TRPC3","SNORA20","SAMD3","FKBP10","FAM46C","PTRF","FBXO32","NT5E","SNORA71D","SNORA74A","KLRB1","SNORA47","SNORA75","SNORA84","SNORA7B"
"47","LUM","HIST2H2AA3","SNORA41","IGJ","COL5A1","ITM2A","SNORA84","WDFY4","PODXL","SNORD94","PTPRF","CCNB1","ID1","CST7","TFPI","CLCA2","SLC37A2","SNORA84","RNU5E-1","BTK","CTSK","RAB37","DCN","MPEG1","HLA-DPA1","IGFBP7","MMP2","SNORA84","SLC12A5","FCAR","CTSW","CALD1","ISG20","HIST1H2BO","APOD","CALD1","CAMK4","ITK","SNORA52","SNORA5A","SNORA65","SNORA11B","SNORA49"
"48","LYVE1","EDIL3","SNORA49","SNORA52","LOX","GNB2L1","CYTL1","HOMER2","BMP6","IL5RA","RPPH1","DLGAP5","CALD1","IL2RG","SYNGR1","FSCN1","MS4A4A","SNORA71D","NCF2","CR1L","APOD","ATP6V1G2-DDX39B","FSCN1","SNORA52","ITM2A","KDR","PLOD2","SNORA60","S100B","SNORD94","IL18RAP","PAMR1","LIME1","HIST1H2BL","CORO6","IGFBP6","SNORD15A","SNORA21","SNORA28","SNORA38","RNU5E-1","SNORA49","SNORA5C"
