"","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Epithelial_cells","Erythroblasts","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","MEP","Monocytes","MSC","Myelocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Platelets","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"681","TSPO","ATP5G2","TREM1","AMT","COX7B","FZD7","CFL1","MRPL23","GALNT6","HIST1H4C","FGD5-AS1","PFDN5","PAG1","TCEAL8",NA,"DDHD2","PPAT","BICD2","MRPL15","FAH","XAF1","ARNT2","ANXA5","RCAN2","NSUN6","FGF13","ATP5G2","RNASE4","NMT2","TSPYL5","ANXA5","TRIM47"
"682","BTG3","CSK","CAMK2D","MAN2A2","SEC23A","MAP3K5","UAP1L1","NONAME669","ICAM1","PCDH20","HACD1","PRNP","ASF1A","ZNF667-AS1",NA,"ISG20","LINC00458","CELSR2","SNRPB","TMEM177","RPL13A","S1PR3","AP1G2","TSPAN11","FAM101B","PTMS","STK4","RAB34","TPP1","STOM","CFL1","BAALC"
"683","SPIN4","DPYSL2","APEX1","TST","PROS1","KIF20A","BANF1","FZD10","PTGER4","SUZ12","ARHGDIB","NEAT1","BATF2","EIF5A",NA,"LAMP2","CAT","DUOXA1","LACTB","C1ORF228","RFTN1","ADAMTS3","POLE2","AKR1B1","PTK2","FAS","STT3A","SEL1L3","IKZF3","SESTD1","OSBPL3","MARCKSL1"
"684","VPS45","KIF20A","SPINT2","LINC00520","ASAP2","LIMCH1","FRMD4A","LGALS1","RAPH1","LY6D","UBE4A","RAB34","EGF","TMEM206",NA,"LSM7","LCK","GM2A","NANOS1","HBS1L","APLP2","TOR4A","SUZ12","CELSR2","NLGN4X","PRKD2","STARD4","TEAD1","TERF2IP","AIM1","C5ORF56","FGFR2"
"685","ADORA2B","MTHFD1","ACTL6A","ST6GALNAC1","NMI","CERK","OSTF1","DSC2","CTSL","CD46","PARP14","CFL1","ID3","KLF10",NA,"MIR22HG","TNKS2","MYCBP2","ALG8","BANF1","SUCLG2","CTPS1","CTSH","GSPT2","DUSP6","BATF2","TBC1D31","IBTK","STAM","NONAME16","TTC39C","SEC14L2"
"686","ROMO1","SNORD104","SLC4A1AP","SNORD8","PTPRM","ROMO1","DRAM1","MDK","MRPL15","COPE","CCS","SLIT3","NUDT7","PPIB",NA,"PI4KA","HACD3","ARRDC3","CTTN","GAL","AKR1B1","KIAA1462","NXF1","SMCO4","IPO5P1","PLCL2","MAD2L2","TMBIM1","CAV1","TRIM4","HOXB2","EGR2"
"687","RGS17","SLC4A1AP","MARCH8","ENO2","SDC4","RNASET2","SNRPB","NDUFB7","PIM3","NME5","LRRC75A","LDB2","PRKCZ","TNFRSF1B",NA,"CRYZ","HIRA","METTL7A","FYB","SPRY2","IER5","NGF","SVIL","STRBP","PCOLCE","MYADM","TIAM1","CXXC5","DENR","TSPAN5","ATIC","IKBIP"
"688","PSIP1","ARMCX2","CD58","NONAME894","SOX5","ACVR1","CBR3","RFC4","SUZ12","SMAD1","RAD21","BANF1","CAND2","BTN3A3",NA,"NDUFB7","ATIC","SLC40A1","ZNHIT1","LLPH","FAM129A","RAD54B","TNFAIP8L2","DENR","HACD1","RASSF3","CHST11","HINT3","TNFAIP8L1","F2RL2","C2ORF40","DNM3OS"
"689","PTMS","BCL6","MEF2C","POLE3","MSRB3","PSIP1","CD99","DENR","UPP1","CDKN1B","STIL","PON2","IGHE","COPRS",NA,"ABTB1","PRKDC","C3ORF52","C17ORF58","CDC23","SNRPB","RRAS","CITED4","FGF19","NONAME778","AIF1","S100A8","KIF13B","SFXN3","KDELC1","GCA","HIST1H2BK"
"690","RAB9A","ITGB3BP","PSMC3","NUP35","TRIM4","SNRPF","ALG8","HSP90AB1","CAPZA2","SLC16A4","TAB3","TUFT1","SLC7A8","YBX3",NA,"CDC23","RPL11","CHAC2","BANF1","TP53","ALG8","CAPG","FLVCR1","PFN1","NEAT1","IER2","ABHD15","F2R","CD1D","ZFY","IMP3","TSPAN13"
"691","MTHFD1","MCUB","CTSL","PER1","GLIS2","BOLA3","SGPL1","SPINK5","ARHGEF10","TXN","ZNFX1","COTL1","SALL2","PKIG",NA,"ACTA2","GMNN","GLO1","LTA4H","NMNAT3","COX7B","CRABP2","MGRN1","NORAD","RGS2","IRF2BPL","DBF4","FAM101B","HIST1H2BH","CAPN2","MDFIC","APP"
"692","ANXA2R","ROMO1","PAICS","RAB6B","IARS","EGR1","ANXA4","MT1F","TRIM47","CITED2","COPG1","ADAM9","NDUFA13","C1ORF216",NA,"ARNTL","LYPLA1","TMED7","AP1S2","BID","FFAR2","ENC1","AHCY","EYA4","EFNA1","R3HDM2","SLTM","ARMCX3","ARL6IP5","PRDX4","AGL","C3ORF35"
"693","IFI44","EPB41L4A-AS1","TRAT1","CDK2AP1","PSAT1","PUS7","VEGFA","SUZ12","CLIC1","HTRA1","CYP1B1","AFAP1","ZNF850","MYL6B",NA,"C4ORF32","COX7A1","PSMD14","RAB34","SLC12A6","ARF6","SLC25A24","PQLC3","RPS23","FAM184A","HLA-B","ARRDC3","HIST2H2BE","APOC1P1","CFI","FAM46C","THEMIS2"
"694","TMEM251","RNASET2","RBMXL1","ZHX1","SACS","MRPS27","ARNTL2","STMN2","TCIRG1","HSBP1L1","SP140L","BMPER","TRIM36","RPS6KA1",NA,"PPA1","VLDLR-AS1","SH3BGRL","P4HB","DNAAF2","ATG16L2","GGH","COPE","CTNNAL1","MAGI2-AS3","NUP58","FBXO6","ELL2","BAG3","SLC16A2","PQLC3","LINC00202-1"
"695","CD81","ELF4","ILF2","COPG1","TGFBR2","SNORD104","DNMT1","CLDN7","NORAD","HSD17B11","DHRS11","DMKN","NEFM","TXN",NA,"ZNHIT1","LINC00116","ZBTB16","HEBP1","QDPR","HMGN3","ZNHIT1","GBE1","IARS","MEST","CDKN1B","RABAC1","GRB14","BET1","WIPI1","RPL22","CD248"
"696","FYN","RGS19","FBXO7","FAM182B","CTSD","CALR","PARM1","NES","SEC23A","UQCRC1","RCC2","MAP3K7CL","LONRF1","LAYN",NA,"PSMB10","WASF1","TRIP6","NONAME190","SCRIB","LSM7","MAFF","FAM105A","PSIP1","SYBU","FCHO2","DAB2","GALNT3","CMAHP","CARD16","RICTOR","EIF4EBP1"
"697","MID1","CARD8-AS1","ABCA1","SLC44A2","SYNM","SLC2A10","SUZ12","RAP1GAP2","SMURF2","REEP5","HAUS1","SSX2IP","RGMA","IRS2",NA,"RPS17","TMEM125","C1QBP","PHLDA3","OPN3","IFNGR2","COX7B","PLOD3","LSM4","ZBED9","HSPA1B","IARS","SLC35B3","AKR1B1","CSRP1","SLTM","SLC35F5"
"698","HEPACAM","SMPDL3A","FFAR2","UHMK1","FAM129A","DNMT1","UQCRC1","SNRPB","LOX","TMSB10","PTMS","TRAPPC1","SH2B3","SULT1A1",NA,"GSPT2","ZNF717","NMRK1","CD63","PRKACB","IMPA2","RABAC1","TRIP13","TUBA1A","ZNF248","KBTBD7","RNF144A","CMTM4","MTR","CRIP1","VPS13A","STOM"
"699","WSB2","ANXA5","IFIT5","WDR3","TRIP6","ERG","CXXC5","PFN1","NME1","GDE1","SGMS1","UACA","VPS37B","NUDCD2",NA,"NFKBIA","CADPS2","PRKCH","CTNS","MGST2","SPNS1","FLNA","AMPD2","ZNF280C","HMGN3","RPGRIP1","PIEZO1","GPC4","MAOB","IL10RB","DDIT4","MYC"
"700","ATCAY","CERK","RARRES3","HPDL","HEBP1","TSPYL4","GPR146","APOA1","PRCP","TMEM35B","PIM2","KIF4A","YPEL2","ITGB3BP",NA,"CMTR2","RRAS","FOXN1","PIGP","COL18A1","BSG","CTNNAL1","NIPSNAP3A","CYFIP2","PBX1","IVNS1ABP","JOSD1","HAPLN1","NLK","TXN","RPS6KA1","RBP4"
"701","C1R","METTL7A","TFRC","PRMT6","STEAP1B","PTPRC","JUNB","E2F8","RAD51AP1","OSTF1","PRPF4B","TTK","ZNF267","ABHD15",NA,"ALG8","AK4","PLXNB2","ARPC1B","C8ORF82","EAF2","UBTD2","MICALL1","TSTD1","ZNF608","DNAJB9","P4HB","MEIS2","ARHGAP9","ZC3H12C","IER2","BIRC7"
"702","PAQR6","SIDT2","CAPZA2","ID2","SYTL2","ECI2","KDM5D","CDC23","SCRN1","SPA17","ACSL1","TIGAR","GAB1","CENPA",NA,"FKBP11","MNS1","SLC25A24","LAT","PGBD1","TTYH3","PUDP","SLC25A51","METRN","CTTN","SRRM2","S100A6","FGD5-AS1","IBTK","F3","SDAD1","SNRPD2"
"703","PCDHB14","C1QBP","SAMD3","FAM178B","ZEB1","MDK","PIEZO1","MAP2","MBNL1","HACD3","ANKH","CSRP1","MRPL44","CXXC5",NA,"GIMAP8","NDUFB7","STK39","SCPEP1","PSMC3","HIST1H2BG","TRIM59","MTHFD1","SETBP1","SCRG1","YPEL3","RICTOR","LRRN4CL","ADGRE2","SMTN","TMEM116","FBLIM1"
"704","HK1","NUDCD2","IFIT3","KREMEN1","RPL23","NUDCD2","ADORA3","S100A13","PLEKHO1","CTSB","YPEL5","ANXA4","PSIP1","MIS18A",NA,"FAR1","PTK2","ATL1","SDS","SMAP2","RASGRP4","MBNL1","ARHGAP4","NLGN1","ABRACL","ARHGAP30","HSD17B11","CRISPLD1","HTATIP2","DISP1","GKAP1","EDNRB"
"705","RAB9B","PRDX2","SPIN4","LINC00116","IBTK","TIMM13","CCDC6","PPP1R14A","ADGRA2","TMED7","PLD6","OLFM1","SLC35D1","HBB",NA,"STXBP5","APPL2","STAG2","CKAP4","TET1","TMEM206","NCEH1","FGD5-AS1","TMEM169","ALDH1A1","PET100","MPDU1","NEK7","MGAT4B","LINC00116","GORAB","LMCD1"
"706","S100A11","UBA1","CD247","MICB","FGD5-AS1","PNRC1","IFNGR1","ANXA2","FAM213B","PSMB10","KDM1A","PAM","TCTEX1D2","PDGFC",NA,"ID2","MRPL23","GRAMD1C","NQO1","SLC43A3","SH3BP5","PDIA5","HK2","KCNT2","GLDC","GNAQ","UCP2","HOXD8","P2RY10","SERTAD4-AS1","GYPC","MT1F"
"707","ZNRF3","CERS4","ID2","PYGL","RHOBTB1","HADH","STT3A","ST6GAL2","JAK1","CCDC6","SSBP3","SDC4","FOXO1","TST",NA,"IFNGR2","DANCR","AMMECR1","ATP6AP1","ALG8","COPE","DNAJC9","NFIC","TOMM20","TUBG1","KLF10","YPEL3","NDUFA4L2","ACADM","TXNIP","ZBED5-AS1","BMP6"
"708","GOLGA8A","SLTM","GBP2","IGFBP7","SLC43A3","SPATC1L","HSD17B11","PTK2","DENR","MEIS2","LINC00116","WIPI1","HDAC9","HEBP1",NA,"ITGB2-AS1","DENR","ARPC1A","SDSL","TMC8","PIGP","PAFAH1B3","PRKAA1","CDK4","ZNF25","SLC22A15","ZBTB8A","INHBE","ANXA11","YWHAE","COPE","EDNRA"
"709","C11ORF96","DOCK11","ALDH1A1","KAT2B","DHRS3","CASP1","TMEM251","RASL11B","LPCAT2","MYADM","ANP32E","CLDN11","MAGI2-AS3","RAB20",NA,"MRPS33","PFN1","FHL2","SERPINB1","MAGED1","AGTRAP","HSPB8","SPI1","USP3","CTBP2","IQGAP1","OCIAD2","TPD52L1","SAT1","A1BG","WHAMM","GOLM1"
"710","RPL13A","RABAC1","NONAME681","NCKAP1","GPSM2","FXYD5","VPS45","ARHGAP19","GAS2L3","DSTN","LDHB","BOLA3","FLVCR2","TP53",NA,"HSPA1B","MYO5C","ZNF165","CFL1","ARHGAP9","EPSTI1","NID1","ACTA2","LSR","SIPA1L2","KIF21B","SIGLEC17P","BAIAP2L1","TBCK","NMT2","CD81","PLA2G16"
"711","PAFAH1B3","KIAA0040","DDX60L","PCK2","IRX3","MRPL15","HMGN3","BCL2L12","MPDU1","GPD1L","NRIP3","SHROOM3","GMNN","GALNT7",NA,"SNRPB","NAPA",NA,"LMO2","ABCB6","ECI2","ATP2B4","ATP5G2","PELI2","SMARCD2","LILRA5","B3GNT2","NR3C1","TMEM263","APP","FOXP1","PRNP"
"712","AGL","VCPKMT","CENPM","PDLIM1","C2ORF82","PRELID2","AP1S2","LYPLA1","ADCY4","YBX3","TACC1","PROS1","PARL","ALG8",NA,"TBCK","SLTM",NA,"MRPS35","LRRC34","NLRC5","FAM171A1","BCL6","SEC23A","FANCD2","SRXN1","LGR6","MAOA","CTSH","HEBP1","PI4KA","CYSTM1"
"713","PTPRE","ITPR3","PSMB10","TSPO","SNED1","ABHD14A","AUH","BAZ2B","FOXO1","LAD1","ALDOC","CERCAM","VPS72","NUDT15",NA,"ADAM8","SNRPB",NA,"OPTN","STT3A","WLS","RAB32","KIAA1715","UBE2E2","MND1","NLRP12","HMGB2","MKX","DGKZ","HAPLN1","TRAV5","TRAPPC1"
"714","NONAME778","MAD1L1","BCL2L1","CLCN4","PFN1","PLSCR4","HS3ST2","CXCL6","ALPK3","PLD3","GSE1","MT1X","RACGAP1","ROMO1",NA,"C12ORF57","ECHDC3",NA,"IBTK","GALNT7","CLNS1A","B3GNT5","PRUNE2","SNHG19","ECHDC3","PKN2","MTERF3","MR1","SATB1","BOLA3","ECI2","TRIP6"
"715","TTC7B","COX7B","KIF2C","DIS3L","CFL1","DPYSL2","CDKN1B","CYFIP1","SNTB2","REEP3","RUNX1-IT1","SLC16A2","USP2","APITD1",NA,"SLC25A24","FHL1",NA,"MDH1","HMGN3","EIF5A","NEDD4","SPAG5","CRYAB","UBE2QL1","BSG","AGK","SCRN1","VCPKMT","PDGFRB","HIVEP2","LRRC17"
"716","ACTN1","PI4KA","RPL8","MGLL","GMDS","GOLGA8A","CR1","EFNB2","TCEAL8","CXCL3","SLC7A5","ITGB5","EFHD1","C11ORF74",NA,"SP2","C19ORF33",NA,"NFKBIA","ERAP2","GNAI2","AKR1B1","IFI35","SULF1","PDLIM4","IRS2","ARMC1","STAT5A","SP140L","SFRP2","PPP1CA","RPL13A"
"717","TMEM133","TLR9","ANXA2","CTSC","LINC00597","DTX3L","PRDX4","C1QBP","CTSS","FA2H","HSD17B11","CYBA","B3GNT4","ETS2",NA,"MTO1","ZNF880",NA,"SLC2A3","MRPS27","MRPS35","PARPBP","CD58","CMTM7","SETD6","TPM4","ELF4","IARS","IARS","SAT1","C19ORF43","TNFRSF11B"
"718","ACBD5","BTN2A2","C8ORF88","GYG1","TBX15","PPA2","VDR","IPO5P1","HAUS1","PRDX4","ILF3","CDKN3","RASSF3","TCEAL4",NA,"CYYR1","DAPK3",NA,"CLIP4","PTTG1","CFL1","RCAN1","COX7B","OCIAD2","WDR54","CHST11","HHEX","STOM","RILPL1","CCK","RNASET2","LAPTM5"
"719","BSG","PAICS","ITGB3BP","APOL1","TMEM30A","HIST1H1C","BTBD1","PRSS16","CD81","HERC6","LRR1","PROCR","RSPH1","CD180",NA,"PIGP","MSMO1",NA,"AKR1A1","C1ORF198","NKG7","KIT","CTSD","ZFHX4","CDC6","FOSL2","CASD1","STAC","TNFAIP8","STEAP1B","PAQR8","KIAA1644"
"720","IFIT3","PPIB","MOSPD1","DNAJC9","PTER","ZNF662","HCP5","TOMM20","RCN3","PMAIP1","PNPLA8","AKR1B1","C12ORF60","COX7B",NA,"SDPR","MAP2K6",NA,"RGS10","PNMT","LPCAT2","SDC1","PSMG1","RACGAP1","CDK2AP1","GNAI2","CXORF65","WISP1","SLC35E2","IFIT3","POP5","NFIL3"
"721","SV2A","IER2","CD55","PSENEN","ZNHIT1","BIN1","FGD5-AS1","AGL","YBX3","DGKA","NDUFA13","CARD6","ERFE","GALNT3",NA,"CLNS1A","TXLNGY",NA,"BTBD1","MRPL13","NIPSNAP3A","ACVR1","CTSZ","TIGAR","CECR1","RIT1","NONAME715","LINC00520","CCR5","IKBIP","RABAC1","HK2"
"722","TSPAN5","CDC23","GBP3","SUZ12","SLC22A17","TXNIP","METTL21B","CITED2","ALCAM","ACTN1","AGPAT4","RRAS","PLAC1","SNRPD1",NA,"MYC","PRDX4",NA,"TNFAIP3","MYL4","SASH1","C1S","MED12","ZNF185","FAM13C","DUSP1","RPL23","BDNF","NONAME669","C5ORF46","NEAT1","IFITM2"
"723","TSPAN3","ANXA6","LY9","DPAGT1","CHAMP1","ALCAM","ALDH2","FOXO1","IARS","GCLM","SH3BGRL","SCRN1","PXDN","APEX1",NA,"ACADM","SUZ12",NA,"FAR2","ACYP2","CHMP2A","KCTD12","NDUFA13","AP1S2","FAM89A","TMEM184B","AKR1B1","S100A11","PQLC3","UST","FGD5-AS1","PLXDC2"
"724","FBXO21","CPNE3","GALNT7","FAR1","CDKN1C","CDKN1C","KLF4","KIR2DL3","OSTF1","BEX3","SNRPB","FOXM1",NA,"LSM2",NA,"RNF149","ARFIP1",NA,"QDPR","ZNRF3","CDKN1B","MYOCD","SLTM","CCNB1IP1","HK1","CIR1","TMED2","CD81","NNT-AS1","PPA2","PREX1","ARHGDIB"
"725","MPDU1","FGD5-AS1","PPP1CA","IMPDH1","COL7A1","MCM3","MPEG1","NORAD","PLAGL1","PTOV1","APEH","SPRY1",NA,"MRTO4",NA,"RPL4","C1QBP",NA,"TMEM135","BLVRA","FBN2","PCOLCE2","SRRM2","CNN1","TERF2IP","DTX3L","JUN","IMPA2","DNAJB6","FAM229B","TMEM154","C1ORF54"
"726","PHYHIPL","SMCO4","RNASET2","TMEM97","CD81","GPRASP1","MRPL15","FERMT1","LDLRAD3","VEGFC","GCN1","PCOLCE2",NA,"OSM",NA,"CSNK1D","PHACTR2",NA,"COPE","CXADR","ZC3H12C","PPIB","CD9","MLF1","TP53INP2","SUZ12","APMAP","NORAD","MLLT3","RPL23","VPS45","PGM1"
"727","CPNE3","SP2","STIL","RHD","MGLL","TCEAL8","RPL13A","IARS","MAPRE2","ZG16B","PFAS","FGD5-AS1",NA,"LILRB1",NA,"SHPRH","FGD5-AS1",NA,"RNF135","JAZF1","HEBP1","GLIS3","MYH9","PTOV1","PLEKHO1","MAML2","CDK2AP2","GPM6B","SLC35B3","LILRB3","BLOC1S4","SKAP2"
"728","MLF1","BTBD1","ACTN1","METTL7A","PYCARD","GBP3","THBD","RALGAPA1","SAT1","ABHD14B","FAM104A","CCNB2",NA,"PRMT6",NA,"TMEM30A","ITGAV",NA,"APP","HK1","GAS7","TXNRD1","SCAND1","CPS1","PPIC","FAM53C","PRDX2","GPX3","TCEAL3","TMEM140","RGL4","CXCL12"
"729","DLL1","MSANTD2","FIS1","MRPS23","SLC38A1","NDUFB7","RAB30","NONAME640","UBTD2","RAC2","NR1H2","PSPH",NA,"PSIP1",NA,"C10ORF128","UPP1",NA,"ATIC","ZNF100","MTERF3","IARS","BEX4","PRDX4","SLC39A6","ANXA5","CD63","USP9Y","MRPS35","EEF1A1","STAG2","HSP90AB1"
"730","PSAT1","NFKBIA","MRPS33","PTTG3P","GGT5","MTHFD1","RGS2","CTH","ECI2","SLC38A1","OAT","PEG10",NA,"PTGER4",NA,"FAR2","SNAP23",NA,"FAH","PFN1","STAB1","LDHB","IARS","RPL11","FUBP1","WIPI1","DDHD2","ITGA7","AKTIP","PID1","BNIP3","ITGA2"
"731","B2M","TIMM13","MYLK","UQCR10","MICA","SNRPB","PPP1R18","FGD5-AS1","HK1","ATP6V0C","SAMD9L","SACS",NA,"SCN3A",NA,"MRPS27","TNFRSF12A",NA,"FGD5-AS1","FBXO7","MRPL23","SLC38A1","MFSD13A","ZSWIM6","ZNF667-AS1","MBD6","NOC3L","TBX15","FAM69A","PTGER2","HLA-DMA","ANKH"
"732","INAFM1","TSC22D3","YPEL3","CORO1C","P4HB","PFN1","TGFA","PTPRD","IBTK","HLA-DMA","BTBD1","HEBP1",NA,"PFN1",NA,"MYH9","BCL2L12",NA,"GLA","PFKP","PPP1CA","MARCKSL1","MPDU1","CLU","DFNA5","PSENEN","C17ORF58","CMTM8","PSIP1","RPL22L1","ASNS","CHST7"
"733","SLC17A8","PSAT1","CMSS1","HK2","PITX1","ARRDC4","TMEM206","NLRP7","PLPP4","SOX4","HBP1","MANSC1",NA,"NDUFB7",NA,"OSBPL11","ESRP2",NA,"TSPAN3","SNRPB","LILRA5","PFN1","SH3BGRL","IBTK","SCN3A","TFE3","BEX4","PCYOX1","PTPN6","PDZRN3","LLPH","ENG"
"734","C15ORF52","UBE4A","PLSCR1","WDR43","TIAM2","CREB3L4","CD59","MANEAL","DGKZ","MDK","OTUD3","PCK2",NA,"SNRPB",NA,"BIRC3","IARS",NA,"HLA-C","MOB1B","SAT2","SPHK1","DOCK11","MAP6","SLC22A17","EPSTI1","IL4R","SERTAD4","SP110","TXLNGY","TECPR1","COL10A1"
"735","SNRPB","RPL23","ARHGEF3","KLF3","IL11RA","RFC4","F3","PSPH","INHBA","MEIS1","NORAD","SNRPD2",NA,"TIMM13",NA,"CTBP2","WEE1",NA,"IL18BP","ERMAP","RAB32","GNPNAT1","SV2A","SOX6","ZNF43","LAMP2","MSL2","CRISPLD2","NR3C1","SEC23A","ZNF507","DNAJB4"
"736","CXORF57","FAM193A","RAB32","GEMIN4","SLC39A14","TXN","IL21R","CCDC160","P4HB","PAM","STT3A","IARS",NA,"CD99",NA,"PKM","GREM1",NA,"PLA2G4C","PON2","SLC43A3","TGFBR2","FCGRT","CCND2","CELF2","LENG8","RACK1","FAM225A","TMEM167B","IL6","MZT2A","C8ORF88"
"737","TCF4","PET100","KBTBD11","MRPL50","FAM109B","PSMG1","IBTK","IBTK","HEBP1","PROM2","FTH1","CLIP4",NA,"FBP1",NA,"MAN2B2","TOMM20",NA,"SLC46A3","THEMIS2","LINC00528","CTSC","PNRC1","DCT","DUSP23","OSCAR","RABGAP1L","HLA-DPA1","VMP1","CYBA","TRBV24-1","FADS3"
"738","BTAF1","PRKCZ","NR1D2","NIT2","HSP90AB1","TCEAL1","P4HB","CA14","TMSB10","FCGRT","EEF2K","THAP10",NA,"EXTL2",NA,"APEX1","ZBTB6",NA,"IQGAP1","CTSL","LPXN","STK26","TRAPPC1","PERP","MSMO1","TOP1","RPL3","NALCN","ALDH2","SCARA3","CHMP7","MICA"
"739","ZNF708","SMAD7","ARRDC3","NONAME850","PLEC","PRKCZ","PIGP","CPXM1","ROBO1","XBP1","PNPO","TMEM140",NA,"WDR12",NA,"RIN3","LMAN1",NA,"KLHDC8B","FCGRT","P4HB","RGS10","ALG8","MXRA5","GUCY1B3","CAPZA2","TNFAIP8","IGF2BP3","CHMP4C","FGD5-AS1","ROMO1","BSG"
"740","GGH","TCERG1","XPO7","ZNHIT1","TMED7","FHL2","FNIP2","LINC00648","MELK","CAPN1","MBNL2","C10ORF54",NA,"SIGLEC17P",NA,"ORM1","TMEM200B",NA,"LDHB","THOP1","SH3BGRL","SCRN1","CHMP2A","C4ORF48","ATP10D","ZNHIT1","DNAJC3","PCAT6","DDX60L","PRKD1","MVP","LILRB3"
"741","MAPT","MPDU1","GCH1","IFITM1","CRIM1","GALNT7","HILPDA","NMI","PYCARD","RNF141","MFHAS1","LRRN4CL",NA,"LLPH",NA,"RPS19","IAH1",NA,"VPS45","PCYT1B","PELI1","PRPS1","DIAPH2","SEMA5A","DCTN3","CYB5R4","FGD5-AS1","PXYLP1","GLIPR1","ATP10D","ESYT1","SPATA16"
"742","NLRC5","LSM4","KRT23","BRIX1","GALNT18","LINC00526","EMB","OCIAD2","SHE","TMPRSS2","NONAME681","VASN",NA,"PIEZO1",NA,"CCDC69","CAPG",NA,"GALNT7","EMID1","PRDX4","SP140L","MGLL","GCA","IGFBP4","CHST15","PIK3IP1","STAM","RAB30","BTG2","MED6","DOCK10"
"743","CAPN5","AMFR","RPLP2","EXOSC8","GLDN","NHP2","APOBEC3G","RPL11","DTL","ZDHHC13","LENG8","VIT",NA,"STAP1",NA,"OAS1","NORAD",NA,"HSD17B11","FADS1","SEMA4D","TAF9B","CELF2","CTPS1","NONAME681","IFNGR1","ILF2","ZNF469","SEC14L1","COTL1","ST6GAL1","NMRK1"
"744","CDK4","LRBA","TRIM59","DBI","NFIC","CA2","IGFLR1","TUBG1","GBE1","PQLC3","PCGF5","ITGA2",NA,"HAUS1",NA,"RACK1","CLDN12",NA,"M6PR","NOC3L","SYNGR2","ANOS1","XIST","ASS1","ASRGL1","MAK","MRPL13","ANOS1","ZFAND2A","GNAI1","RPS23","RPL22L1"
"745","COMMD3","POP5","SLC37A3","DDIT4","MT2A","FANCI","PEPD","DAZL","STT3A","RPL8","FAS","MICAL2",NA,"BIRC5",NA,"PET117","ZNF280D",NA,"CAPZA2","ABCC4","POP5","MPDU1","ARAP1","ATP5G2","CCDC144NL-AS1","RAB33B","TTC38","SH3BP5","ARHGEF26-AS1","HAUS1","MTERF3","HK1"
"746","IRX5","IGHV4-34","SLTM","PFN1","NONAME780","HEBP2","SH2B3","STAG2","C15ORF52","LARP6","PAICS","BTBD1",NA,"MRPS27",NA,"MRPL3","PRRG1",NA,"METTL7B","THOC6","VMP1","SEC23A","CD59","H2AFY","NINL","BRWD3","ZNF426","TSPAN2","ELF4","COL16A1","PET100","PHLDA1"
"747","RANBP6","IL7","DIAPH2","CPQ","C9ORF16","TIE1","PSMB10","OSBPL1A","SCARF1","BORCS7","UQCRC1","BSG",NA,"TAGAP",NA,"PDLIM1","CDC23",NA,"NDUFA13","MPDU1","CYP2S1","TUFT1","GPAT3","POLE2","C5","NPTN-IT1","RAP2A","AP3M2","HIST1H1C","CDC42EP3","SLC9A3R1","PDIA5"
"748","DLX2","SH3BGRL","GNAQ","GEMIN2","IL13RA1","ABHD14B","SLC25A48","BAG2","THBD","NDUFA13","WASF1","OSTM1",NA,"LITAF",NA,"HDHD2","PBDC1",NA,"VNN2","AMT","KBTBD11","RFTN1","IFI16","CENPE","ACSL1","NTNG2","PARP12","ARRDC3","SIAE","HIPK2","CCR2","TMBIM1"
"749","ITK","MAD2L2","MRPL3","CTPS1","PLA2G16","ERMP1","CAMK1D","KCNK1","TPP1","NETO2","SNHG1","SEC23A",NA,"SLC35F2",NA,"OCIAD2","TXNIP",NA,"PTGER2","FAIM","IARS","MLPH","PARP8","STAG2","DDIT4","NONAME72","PRKCB","NABP1","ST7","MT1X","FBLN5","FAM20A"
"750","UAP1L1","HLTF","PTPN22","SKAP2","PRDX2","TRH","MINPP1","LRP4","GSTO1","MESDC1","BAZ1A","FKBP10",NA,"PTRHD1",NA,"WDFY3","PUS7L",NA,"DNASE2","NUP37","ACSL1","DENR","CYBRD1","MAB21L2","BRIP1","ELF4","NONAME681","PENK","AGL","C10ORF10","CHMP2A","HMOX1"
"751","TCF7L1","COPE","SMIM1","SLTM","PPA2","CDC23","CAPZA2","THAP9-AS1","MGST2","OAS1","RPL13A","MBNL2",NA,"BSG",NA,"C15ORF39","SNRPD2",NA,"PSTPIP2","ZNRF1","ARAP1","CENPU","GNAQ","SKP2","GPX7","HTATSF1P2","CDC37","CPEB4","LYPLAL1","SGCB","CLK1","TGFBR2"
"752","MAGED1","DENR","IFIT2","TPM1","SAT1","MYH10","COPE","BRINP1","C19ORF33","UBTD2","ASAP1","ABCA1",NA,"STK17B",NA,"FASTKD3","ARRDC4",NA,"GLMP","C17ORF99","ATP6V1F","EIF5A","PET100","SLTM","KAT2B","ARAP1","ENC1","LACC1","MAP1B","CAMK2N1","SERPINB9","CELSR3-AS1"
"753","CCND2","TEX9","TMCC3","SNRPB","COL4A1","PROSER2","PRDX1","CDKN1B","CAT","ARPC1A","YARS","CHAMP1",NA,"TOMM22",NA,"SULT1A1","CDKN1B",NA,"PPP1CA","COMMD3","HYOU1","LINC00116","SLC9A8","ASNS","PHGDH","HAS1","HLTF","NTF3","SLC18B1","SCRN1","MRPL9","GADD45A"
