"","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Epithelial_cells","Erythroblasts","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","MEP","Monocytes","MSC","Myelocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Platelets","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"27","TUBB2B","CPNE5","CA1","EPCAM","COL1A2","EREG","SLAMF8","SALL1","SDPR","SLC44A4","RFESD","IL13RA2","CFAP58","FCER1A","ADH1A","S100A8","CRABP1","KRT5","EGR2","FCER1A","PILRA","CXCL12","PRTN3","LRRN1","PLP1","CCL4","LAIR2","CTGF","C2ORF88","TAGLN","CCL5","SPOCK1"
"28","SOX9","KIAA0226L","RNASE3","ALAS2","MATN3","AREG","HCK","SOX11","CD93","AGR2","CA2","CTHRC1","DAZL","CLC","ALDOB","HCK","PROM1","WFDC5","AQP9","AZU1","IL10RA","IGFBP3","NKG7","TCEAL7","HEPH","MNDA","TRBC1","COL5A2","TRAT1","PAPPA","TRAF3IP3","PPP1R3C"
"29","INSM1","AIM2","ORM1","RFESD","COX7A1","SELL","NCF2","PLP1","SERPINE1","LAMB3","HBQ1","CRLF1","DSCR8","KIAA0125","LGALS4","PPBP","OLFML3","SERPINB4","APOE","ALDH1A1","CLEC4A","CNN1","CTSG","HS6ST2","IGFBPL1","STEAP4","KIR3DL2","FBN1","GRB14","CCDC80","MAL","HOXC6"
"30","CFI","PVRIG","EPB42","ATP7B","COL2A1","C1ORF228","EGR2","PROM1","CTGF","TSPAN1","SLC25A37","CLIC3","RIIAD1","SELL","DIO1","TYROBP","SCG3","CDSN","BCL2A1","ANKLE1","CLEC7A","ACTA2","S100A12","TMEM255A","HOXC6","AQP9","CST7","LOX","NRGN","NNMT","STAT4","WNT5A"
"31","TMEM178A","LTB","DNTT","APOC1","LOX","HOPX","FGL2","KRT19","NTN4","ALDH1A3","CD36","COL12A1","TCL1A","CYTL1","AKR1C4","SELL","FZD7","GJB6","C1QC","KIAA0125","FCER1G","CAV1","TACSTD2","LINC00461","MAP1B","KCNJ2","RASGRP1","FAP","ACRBP","PPP1R3C","TXK","FBN1"
"32","NXPH1","FCRL1","RETN","RHCE","CTHRC1","LYZ","GPNMB","DMKN","SPOCK1","KRT7","HBB","IGFBP3","UNC13C","C1ORF228","F9","FFAR2","VASH2","SDR16C5","APOC1","RFESD","SERPINA1","FBN1","ELANE","ARX","MAP2","ADGRE3","CD69","COL5A1","CD226","NT5E","GIMAP4","TWIST1"
"33","CORO2B","CD27","VPREB1","APOBEC3B","COL15A1","HBD","CCL26","SCG3","PODXL","MUC20","SLC4A1","CDH11","OTX2","GUSBP11","HPD","ALOX5AP","CTGF","IVL","TYROBP","PVT1","HLA-DRA","SNAI2","S100A8","ZIC1","SPOCK1","GBP5","ZAP70","PPP1R3C","GGTA1P","ABI3BP","SELL","ABI3BP"
"34","PCDHB10","TLR10","PPBP","ANK1","NDUFA4L2","KIT","C10ORF128","FZD7","MTUS1","EHF","PKLR","CTGF","FOXR1","IGLL3P","TTR","HBB","GPC4","KRT17","CD14","IL1B","MARCH1","SPOCK1","MPO","TMEM178A","ISL1","NCF2","NLRC3","TAGLN","ITK","THBS2","CLEC2D","MMP2"
"35","TMSB15A","HLA-DMB","GYPA","NFE2","OLFML3","NOG","CD274","CRABP1","CCL2","FGFBP1","ANKLE1","TAGLN","TDRD6","CST7","PON1","FGL2","FAM46B","CXCL14","SLAMF7","CD36","IGSF6","WNT5A","SERPINB10","LIX1","TFAP2B","C5AR1","GIMAP7","CCDC80","GIMAP7","ITGBL1","CD52","IGFBP6"
"36","ZIC1","FCRL3","S100P","CA2","LOXL1","CD69","MS4A4A","FGF13","SRPX","S100P","GMPR","MIR100HG","FIGLA","KIT","VTN","FPR2","SALL2","GJB2","FGR","PRKAR2B","VNN2","TGFB1I1","ORM1","SALL1","SFRP1","LILRB2","APOBEC3G","SNAI2","EGF","COX7A1","S1PR1","COL6A2"
"37","FXYD6","IGHV4-28","CTSG","HPGDS","FMOD","GAPT","TYROBP","GAL","THBS1","SFN","KCNH2","COL15A1","TCL1B","IRF8","HPR","LYZ","TET1","ALOX12B","C1QB","PLAC8","GIMAP4","NID2","FCAR","COL3A1","UCHL1","FCAR","KIR3DL1","MSC-AS1","PKHD1L1","PRRX1","CYTIP","COL12A1"
"38","ASCL1","HLA-DQA1","S100A9","TFR2","CDH11","IL1B","HSD11B1","GPC4","CAV1","MAL2","GSTM3","STMN2","SMKR1","PLD4","HSD17B6","PI3","ID1","CNFN","CD68","APOC1","LGALS2","FOXD1","LYZ","PEG10","GAP43","S100A8","SH2D2A","NNMT","NONAME642","RGS4","LTB","FOXD1"
"39","SPARCL1","SP140","MNDA","MT1G","IGFBP3","HBB","CLEC4A","TET1","RHOJ","TMPRSS4","GYPE","MXRA5","DDX43","GAPT","ITIH3","P2RY14","GJA1","DSG3","LYZ","APOBEC3B","CCR1","NTN4","OLR1","PLP1","CD24","TLR8","STAT4","CDH11","SH3BGRL2","DKK1","SAMD3","COL11A1"
"40","NDP","IRF8","HBB","WNK3","CTGF","CPXM1","TMEM176B","RBPMS2","LIPG","AQP3","CYTL1","CYR61","DEPDC7","S100A8","CYP2E1","JAML","GULP1","ELMOD1","HCK","CPXM1","LST1","CYR61","ALOX5AP","CAPN6","TFPI2","CCR3","IFNG","CTHRC1","HIST2H2BE","LOX","IL10RA","HTRA1"
"41","DNER","IGLV2-14","ELANE","ANKLE1","COL5A2","SVOPL","AQP9","POU5F1P3","MMP10","GPR87","HBM","MYL9","ADAD1","SERPINB10","AKR1D1","CMTM2","CD24","MUCL1","VSIG4","KIAA1211","PLA2G7","COL4A1","TYROBP","SOX2","LUM","G0S2","HOPX","PTX3","FRMD3","SERPINE1","SKAP1","MGP"
"42","MIR100HG","HLA-DRA","VPREB3","IGLL1","CYR61","CST7","CCL8","CACHD1","ARHGAP29","TCN1","HMBS","COL5A2","DMRTB1","VPREB1","TM4SF4","EVI2B","CXADR","AADACL2","FCER1G","C16ORF54","EVI2B","COL11A1","ATP8B4","MAMDC2","IGF2BP3","P2RY14","TBX21","LINC00968","GUCY1A3","C1R","BCL11B","CAV1"
"43","PCDH8","CD72","JCHAIN","KEL","FNDC1","PF4","CCL17","SALL2","MMRN2","CFB","TRIM58","EFEMP1","C4ORF47","PLAC8","SERPINA3","TMEM71","IGF2BP3","SERPINB3","CCR1","CPA3","ITGB2","COL4A2","PROK2","PROM1","GJA1","S100A9","GIMAP6","DEPTOR","GPR18","HOXA5","CD27","TMEM119"
"44","LRRN1","LRMP","TCL1A","ALDH1A1","ECM2","PLAC8","CCR1","AASS","S1PR1","SERPINB4","ANK1","MGP","H1FOO","CLDN10","SERPIND1","KCNJ2","SOX2","C10ORF99","MS4A7","GBGT1","JAML","COL5A1","CAPN3","HES5","TMEM47","SELL","PPP1R16B","IGFBP3","GMPR","CXCL12","CD96","SULF1"
"45","PROM1","LY86","HBG2","SLC25A21","COL5A1","NFE2","FOXQ1","IGF2BP3","PGF","CLCA4","NFE2","OLFML3","DAW1","HLA-DRA","APOA1","TREM1","NMU","CLCA2","GJB2","PIP5K1B","RGS18","MAP1B","MYB","FGF13","SGCE","IFIT2","FASLG","VEGFC","GZMA","SPOCK1","ZAP70","PCOLCE"
"46","ADAMTS3","VNN2","PF4","MT1X","SERPINA3","ADGRG6","FABP4","SALL4","CALCRL","C19ORF33","MYL4","COL5A1","IGSF11","NAPSB","CYP3A4","BCL2A1","DPYSL3","CARD18","CYBB","CSF2RB","CD36","GPX8","ANXA3","ZNF423","NEFL","PHACTR1","RUNX3","ERRFI1","NLRC3","SNAI2","TC2N","IGFBP4"
"47","CPLX1","RASGRP3","HP","SLC43A3","FBN1","P2RY8","TREM2","NONAME318","ABI3BP","CDH3","MT1G","SFRP2","GPR37","FOSB","HP","LST1","TAGLN","SPRR2G","CD163","DPPA4","MS4A6A","PTX3","PIWIL4","SOX9","LMO3","FGL2","CD2","PAPPA","BMP6","CCL2","CD48","FAP"
"48","SYNM","ELL3","S100A8","SMIM1","ITGBL1","HLA-DRA","RNASE6","CTGF","PTX3","RAB25","TSPO2","CRYAB","DCAF4L1","RNASE6","SLC22A1","MPEG1","NONAME213","S100A2","CD52","PPP1R14A","BCL2A1","OLFML3","CLEC12A","GPM6A","LAMB1","TYROBP","CD160","LTBP2","ZNF185","COL12A1","TRAV13-1","TIMP3"
"49","EPB41L3","CYTIP","VSTM1","PIP5K1B","NDNF","DPPA4","IL10RA","GJA1","CYR61","S100A14","MT1X","F3","NLRP9","BLNK","PON3","IGSF6","CYR61","ZNF750","ITGB2","ITM2A","CD48","CCDC80","GGTA1P","CDO1","CSRP2","FCN1","TYROBP","IRX3","FAM212B-AS1","NID2","GIMAP1","TFPI2"
"50","CTNND2","FCRL5","VNN2","GATA1","ELN","DEPTOR","LYZ","CD24","NOX4","SLPI","GAD1","FGF7","STAG3","CFD","CFHR2","CD300A","PLP1","SPINK7","CPM","TRIM58","CD93","GJA1","PRAM1","NELL2","NBEA","LRRK2","CYTIP","COL4A1","GNG11","MMP2","GNLY","CTGF"
"51","ARX","NLRC3","GYPB","MUC1","SNAI2","ITM2A","ITGAM","ID1","CAV2","CEACAM6","NCEH1","TMEM47","C6ORF52","TNFSF13B","ITIH2","ADGRE2","DSP","ARG1","SUCNR1","MLC1","CD86","VEGFC","LST1","SFRP1","TUBB3","RGS18","GBP5","STC2","MYZAP","DKK3","GBP5","COX7A1"
"52","RPE65","MIR5195","LYZ","DLGAP5","EFEMP1","FOS","CD74","SPP1","CDH13","ATP12A","DMTN","VGLL3","FAM167A-AS1","CD69","AMBP","FGR","AASS","SERPINB7","NR1H3","CLGN","CSF1R","SERPINE1","FGR","GPC3","GPM6B","HCK","ITGAL","PPP1R14A","GPR171","CAV1","RARRES3","LAMB1"
