"","Adipocytes","B_cells","Chondrocytes","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","HSC","Keratinocytes","Macrophages","Melanocytes","Mesangial_cells","Monocytes","Myocytes","Neurons","Neutrophils","NK_cells","Pericytes","Skeletal_muscle","Smooth_muscle_cells","T_cells"
"745","RPL4","MTFP1","DENND3","LXN","CCNB2","TSEN54","DAPK1","PA2G4","PROS1","COMMD3-BMI1","KREMEN2","SEPT9","TSPAN15","SMTN","HIST2H2AA4","FAM212B",NA,"NQO2","GSDMD","CKAP2L","CACNG6","TSTD1","FOXO1"
"746","STEAP1","SPPL2B","ERAP2","STAT6","SEPW1","NIN","HBEGF","RBBP8","LAYN","DHCR24","SCG5","PDLIM2","APBA2","FZD7","LUZP6","HIST1H4H",NA,"LRCH4","H1FX","STEAP3","KHDRBS3","XYLT1","HNRNPA1"
"747","ACP5","USP40","HNMT","RNU5D-1","TRIM47","TCF12","KCTD15","SEC14L2","OAZ2","FOXP1","ADORA2B","RASAL2","PPT2","HIST1H4H","PTPLAD2","COL18A1",NA,"GLIPR1","L3MBTL4","B3GNT9","PLCL2","ALDH1A3","ADCY3"
"748","DMXL2","COX6C","XIST","CYTH1","H3F3AP4","GTPBP1","BOLA2B","C16ORF95","SCARNA6","RPL4","PLCD4","DHRS11","CCNA2","APLP1","STARD4","HIST1H3F",NA,"SMEK1","APOBEC3D","CCDC144B","TGFBR3","HIST1H2AG","MYLIP"
"749","HIST2H3D","NME1","ZCCHC24","F11R","MAPK12","LPIN1","PLIN2","TIMP1","ZNF521","STAT5A","CCNA1","HLA-C","LRP1","CRYAB","CCDC88C","TLN1",NA,"ZEB2","FAM43A","OLFML2A","C8ORF22","NAALADL2","CMTM3"
"750","ZBTB20","TRANK1","MAP7D3","IFI44L","SLC16A3","TREML2","TIMP2","MAPRE2","PTGFRN","NDUFS5","RBBP8","TFRC","PTPN13","RHOBTB3","CPNE8","S1PR3",NA,"AGER","AGK","UGDH","PPA1","LTBP4","ITPR3"
"751","CRTAP","VEGFB","PRDX1","PFKP","CCNF","IFITM3","CDK6","RAD54B","CD320","C17ORF49","RPL5","RDH11","VAMP8","RPL10A","HDAC9","FLVCR2",NA,"MOSPD2","COMMD7","HSP90AB1","TSC22D1","AP3M2","PARP10"
"752","CTSB","ANXA2","TMSB4X","ACTB","GSTP1","SMAD5","NSA2","MRPL27","CSPG4","ESYT1","GGH","ATP6V0A1","ATF7IP2","GLIPR2","MAP4K1","RPL23AP7",NA,"PFKFB2","GAB3","NAMPT","GKAP1","MALAT1","ID3"
"753","COTL1","HDDC2","MRGPRF","GRINA","ACTN4","TGFA","TRIO","SPCS1","NDUFA4L2","NDC80","UCK2","ATP6V1B2","HSPA1B","HSP90AB1","OLA1","SPTAN1",NA,"RAB24","SBF1","MESDC1","IGF2","ABCC9","STMN1"
"754","SORT1","AP1G2","SCARNA6","XPNPEP1","CD81","WIPI1","KSR1","TUBA1B","HMGA1","SPG20","SOX7","BOLA3","CD63","MYO1E","IL6ST","LMAN1",NA,"TUBA1A","TMEM109","SAMD3","LARGE","HIC1","TOB1"
"755","UTRN","FLI1","SIRPA","MYO9B","SCRN1","GRB10","RANBP1","CERS2","RAMP1","ACP1","SERPING1","RGL1","PON2","SMO","RAP1GAP2","DOK1",NA,"APAF1","PCDH1","SMAD3","ATP8A1","TMTC1","RPL21"
"756","ADAM15","MAGEH1","ADH5","NLRC5","TMCC3","LZTR1","TMED3","IFT52","RPLP0","C2ORF68","PHLDA3","HIST2H2AA4","PHLPP1","RAB32","GPX1","JPH2",NA,"TMEM55A","RHOH","THSD4","DNAJB5","YES1","CDKN1B"
"757","TM7SF2","USP6NL","AVPI1","PMAIP1","CD274","PRKD2","KRT81","SNX22","CCDC85B","MAN2B1","TMED3","KRT79","TGIF1","AHNAK2","HP","UGCG",NA,"GNAQ","RPS26","CALR","GSTM3","ZNF493","IL23A"
"758","HIST1H2BO","ADRBK1","CKB","PQLC3","CENPF","CECR1","PIM1","CCDC138","DOCK11","LIMS1","ACSS2","CTNNA1","ARRB1","HSPA2","SNRPD2","VDAC1",NA,"PIGB","ACAA2","CTSZ","AKAP6","FAM129A","PRDX2"
"759","TBXAS1","METTL17","UACA","PSME2","ALDH18A1","TNRC6C","BAMBI","LIMS1","HIST2H2AA4","CKB","PAK1","TMED3","SESN3","PDE3A","STK10","NUAK1",NA,"SAT1","HIST1H2BN","IER2","PPP3CC","FRMD5","FAM153B"
"760","ADAM33","XKR6","BEND6","RDH11","FES","ZNF688","H3F3AP4","COMMD1","IFIT1","PKN1","PC","CD4","TMEM51","UBE2S","CACNA2D4","SLC39A14",NA,"ADORA2A","PLCH2","PLXND1","KCNJ12","TEAD1","PDK1"
"761","COMT","CITED2","CCNB2","GADD45A","SHC1","FCER1A","IGF2BP2","PLP2","PPA1","PPT1","PRSS3","CLEC11A","CPS1","DUSP1","SEMA4D","DTNA",NA,"DEF6","SRXN1","SEPT11","WASH3P","MARCKS","BTLA"
"762","DDIT4","FBXO44","SLC38A1","ADORA2A","TNFRSF12A","HIST2H2AC","MOXD1","HIST1H3C","SOCS2","MXD1","MVP","QPCT","HIST1H4E","RPL4","HNRNPA1","HIST1H1D",NA,"FAM49A","AUTS2","IGF2","ZNF358","ALDH1L2","DGKZ"
"763","DGKA","MICAL1","VEPH1","GADD45B","IQGAP1","NUAK2","CSRP1","HNRNPH3","AFAP1","TRIM22","PSMD3","VNN2","STMN1","CSRP1","IL3RA","SHC1",NA,"TCP11L2","CTSS","FLRT3","SIX2","KCNJ8","MPHOSPH9"
"764","C10ORF54","PABPC4","ARL4C","RPS4X","RANBP1","MKL1","DUSP6","NCAPG2","TRNP1","TSPO","GNB2","KLHL6","NFKBIZ","PMP22","OAS1","FAM162A",NA,"IMPDH1","JAZF1","LINC00472","MAPKAPK2","TLN1","AFF3"
"765","RPL13","RPS6KA1","PLSCR4","BHLHE40","RPS4X","KLHDC4","FKBP8","CENPO","NAV3","COMT","RPS5","PYCARD","PAK1","HSPB8","VASP","NEK10",NA,"MIDN","RPL3","ATP2B1","NUDT8","EIF1AY","TCEAL8"
"766","COL1A1","NSMCE4A","SETBP1","LIMA1","SLC39A14","LILRB2","COMT","PTGS1","LDHB","ATP6V0A1","PLEKHG5","RSL1D1","NCS1","HHIP","BCL3","HIST2H2AC",NA,"PPP1R18","CLEC2D","SOD2","TMEM150A","TUBA1A","VAMP8"
"767","FKBP8","EPRS","IQGAP1","ACSS2","PEA15","MIRLET7BHG","TMSB4X","HYLS1","MVD","CD302","TSEN34","SCARNA8","SETDB2","ISYNA1","EEF1A1","OPN3",NA,"FAM214B","CSK","TBX20","AGT","GPR68","SUMF2"
"768","RBFOX2","SLC35F2","CYB5R2","DHRS11","HMGA1","SMPD4","FEZ1","NUPL1","GSN","EXOSC5","CERS3","ZYX","WDR34","CGNL1","MYH9","PRKCH",NA,"PRMT5","MAPRE2","SPRY1","CDH5","CYFIP1","TGFBR2"
"769","TMTC1","TRIP10","ANXA5","ZEB1","LMNB1","TRANK1","SORT1","DDIT3","PIEZO1","IRF1","EI24","NENF","CYBA","HIST1H4A","SERPINB6","COMT",NA,"FRMD4B","MLLT6","BTBD11","NOTCH3","LMOD1","ANKRD36B"
"770","FAS","CBX4","PRRX2","PPP1R18","PRDX2","NOTCH2NL","ORAI2","TST","SECTM1","MYADM","IFNGR2","TLN1","GPHN","PCBP4","MLKL","DOCK11",NA,"ABCA7","RPL10","HERC2P3","NPLOC4","SMO","KLF3"
"771","FBXW5","FLNA","RAB34","SLC11A2","STXBP2","RCN3","CTBP2","CDC7","SPHK1","TLN1","CCDC85B","TPRG1","OBSL1","STAC","NDUFB2","EMP3",NA,"DSE","SCRN1","HNMT","CLASRP","TXNIP","MYB"
"772","RNF130","AKAP17A","GXYLT2","RPL4","ARG2","DNASE1","ARPC1B","NAPEPLD","TSPO","CPVL","CD99","CD274","TMBIM1","NCKAP1","NKG7","IARS",NA,"GALNT3","TSPAN3","LSS","EGFLAM","FUT8","PTCD3"
"773","SNX21","IFI16","GSTM3","PPFIBP1","NUSAP1","APOBEC3C","DDIT4","SLC7A11","TUBA1A","KLF6","GLUL","THRA","APBB1","RASSF4","OGFRL1","SYNC",NA,"SLC26A8","ZNF22","SH3BP4","IFITM1","PLAUR","TNFRSF10B"
"774","VAT1","SIDT1","PLIN2","PTPN1","GDPD5","GDPD3","RHOBTB1","ECHS1","HIST1H4H","PFDN4","DDX3Y","ATP8B4","AURKA","CDK2AP2","EEF1B2","DPP4",NA,"KIF27","ADH5","MANBA","PTPRM","POLR2I","GABBR1"
