"","Adipocytes","B_cells","Chondrocytes","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","HSC","Keratinocytes","Macrophages","Melanocytes","Mesangial_cells","Monocytes","Myocytes","Neurons","Neutrophils","NK_cells","Pericytes","Skeletal_muscle","Smooth_muscle_cells","T_cells"
"313","PLTP","CHCHD10","MFGE8","AHNAK","DOCK6","FHL3","IL32","CCNE2","NBL1","ECH1","KLF5","SIRPA","HERC2P4","HIST1H4L","ANPEP","FJX1","FEZ1","TLR6","CMKLR1","PALLD","PALLD","DHRS3","IQGAP2"
"314","LYZ","PLD4","WWTR1","LRP12","FAM114A1","KCNAB2","COL4A5","CAT","SNED1","PDE4B","PPP1R14C","VAV1","PLAT","CAPG","SELPLG","LYPD6B","CLMN","SULF2","HIST1H4L","IGFBP7","DMPK","FBN2","SNORA15"
"315","CST3","RMRP","FGFR1","ALDH2","WSCD1","CAMK1D","PLXNB2","DDX3Y","ZYX","PLCB2","FAM83B","GLIPR2","ESR2","ENC1","GPSM3","MFGE8","LRP8","CCNJL","SRGN","GNG12","BCL6","HTR2B","HIST1H4E"
"316","FAM114A1","CD180","SERPINA1","GPR157","NRARP","ERBB2IP","ABLIM1","DNAJA4","IFITM1","IMPDH2","HBEGF","TM4SF19-TCTEX1D2","FKBP9","OLFML2A","SMARCD3","INPP4B","SNAP91","BTNL8","SYTL3","P4HA2","ABLIM1","SCARNA5","PRKRIR"
"317","ABCA9","JSRP1","RDH10","LIMCH1","ITGA5","ARHGEF40","NBL1","MED28","TRAM2","RPL23A","MRGPRX3","TIMP3","HIST4H4","ATP10A","AHNAK","VEGFA","CDH2","DOCK5","CCDC88B","RHOC","LPL","LDLR","MYC"
"318","MMP19","BIRC3","RSPO2","SOCS2","PIR","GSTM2","EHD2","MKI67","MEIS1","CNTRL","PDLIM1","SLC16A3","GYG2","PTGDS","HMOX1","FBXO32","CLSTN3","SULT1B1","NLRC3","KIF26B","PKD1","ARMC9","RPL37"
"319","MEG3","KLF2","MYO1E","HMGN3","SH3TC1","SRGN","EPHA1","NME1","WNT5B","CCDC28B","HIST1H2BM","ACAT2","GALNT3","LIMD2","RNU5E-1","CCND2","MCAM","HCG27","FAIM3","PLK2","CCDC69","GLT8D2","HIST1H2AK"
"320","FMOD","RASSF6","LGR5","PTRF","RHOB","ACPP","EPPK1","FARSB","MFGE8","IRAK3","HIST1H4J","SNORA5A","MREG","PCDH7","SLC25A37","RARRES2","CAMK4","CARD16","CD8A","KIFC3","COL4A1","MFAP4","ELMO1"
"321","PHLDA3","PARM1","ATOH8","PPFIBP2","SCARNA7","SLC43A2","ITPR3","BCAT1","EGR1","ITFG3","RTKN","ADCY3","TMEM229B","MYADM","HNMT","ADAM19","KIF3A","UNC13D","KLRC4","ITGBL1","CST3","CD9","KLF12"
"322","NQO1","GCN1L1","CRYAB","FAM69A","GDF15","CNR2","MYO1C","CD58","CD276","CCNB1IP1","KRTCAP3","TIMP2","LINC00511","SDC1","ERBB2IP","B3GALT2","MIS18A","RMRP","EVL","TRIB3","AMPD1","CTHRC1","RAC2"
"323","PLVAP","SLC15A3","DST","RMRP","DUSP6","RNASE3","SERPINE2","PRR13","MAP1A","IL16","FGFR3","HIAT1","CDKN3","CARD11","LGALS3","ITGA4","PTPRZ1","CD37","MMP23B","ANXA3","NINJ2","DBN1","SCARNA2"
"324","PDE2A","DENND5B","GPR1","SCARNA10","VASH1","RASAL3","SGMS2","ECI2","RHOBTB3","SPARC","CALD1","HLA-DQA1","TDRD7","HIST1H2AM","RASSF2","SCARNA7","MYO10","SCARNA5","FMNL1","PLXNB2","SPARC","MT1E","RLTPR"
"325","SEMA3C","FKBP11","FAM180A","FAM129A","ADM","PLEK","TMC6","RANGRF","DPYSL3","TKT","SLC7A8","RNU4ATAC","YAP1","FGB","CD302","JSRP1","ACYP1","NLRP12","SCARNA12","EHD2","MCAM","LRRC32","APOL3"
"326","NRP1","VAV1","NOV","TRAFD1","PLA2G4C","MBD6","SPARC","KIF15","LOXL4","RPS5","IRX1","FCGRT","CLCN7","HIPK2","SCARNA5","CRIP2","PFN2","ARHGAP27","NCKAP1L","AHRR","SCARNA10","LPAR1","RGS10"
"327","FSTL3","SCARNA10","DDAH1","SCARNA7","NRN1","RIN3","AIF1L","ITGA2B","HSPB1","PRDX2","CDKN1A","SNORA80B","FAM114A1","IL18","HBA2","IGF2","HSBP1","SLPI","PRKCQ","PDLIM3","CPT1B","NCKAP1","DHRS3"
"328","CNN3","TCF3","GLIPR1","DSE","ADAMTS9","MIR374B","PTPN3","DPCD","PLSCR4","JUP","PYGL","SCARNA7","FAM129B","MFGE8","PIK3AP1","C1R","CACNA1G","ACAP1","GBP2","PSD3","TRIP10","PTN","VIPR1"
"329","NPR1","SNORA47","FAM46A","CLEC2D","SCARNA5","EHD1","CDS1","SLC25A5","TRIB3","MYH10","SLC1A5","FGD2","EFR3B","CTTN","SCARNA13","TMEM45A","ROBO2","LY96","TAGAP","FKBP9","AHNAK","MAPK10","GPR174"
"330","GNG12","SLC7A7","SEPT10","IFI27","LAPTM4B","RGS19","EDN1","RAB3IP","ANGPT1","GBP2","NRG1","GAS7","FRMD6","HMGA2","SNX10","IL1B","CAMSAP2","STX11","NMUR1","COL4A5","HBB","ARMCX2","NFKBIZ"
"331","PROCR","PLAC8","DAPK1","CERS6","NOS3","TRPM6","SCARNA10","ANLN","ABCA8","BEX4","HSPG2","ARHGAP9","CA8","HIST1H3J","RPPH1","AKAP6","PEBP1","DUSP1","AHNAK","HS3ST3A1","PALMD","HIST1H4F","NLRC5"
"332","SRPX2","SKAP1","OLFML3","DHCR24","PCDH12","PYGL","FERMT2","LINS","ANGPTL2","FLT3","CTSK","CST3","NCKAP1","SLIT3","RASSF4","SDC4","MRPS36","SCARNA13","TTC38","MAP1A","AMPD3","COX7A1","ZEB1"
"333","MYO1E","RRAS2","MGP","SCARNA5","ITGB3","RMRP","WWC1","HMGN2","MYO1C","NME1","SCARNA7","FCN1","SLC27A3","DKK3","CTSZ","DSEL","RSPO3","SCARNA7","F2R","HIST1H2BG","PPP1R3A","FGFR1","BEX2"
"334","RBM47","H1FX","MYO1D","BMF","RPL13AP5","HIC1","CD276","NDUFAF4","ENPP2","RASGRP2","LAMB1","BHLHE41","FABP5","HPGD","ALOX5AP","STXBP6","TUBB3","GIMAP4","CCDC69","LPAR1","LAMC1","NFASC","GIMAP1"
"335","GJA1","ETS1","WISP2","ATP8A1","MCTP1","ITGA4","ARHGAP29","OAT","HIST1H4D","AGPAT6","CEBPD","SCARNA10","CELF2","ABCB1","HCAR3","ZEB1","BAIAP2","SNORA53","APBA2","SLC16A3","MMP3","PTPRS","SLAIN1"
"336","PCDH18","SNHG9","FKBP9","SNORA53","HIST1H2BG","CBFA2T3","SLC16A3","CPA3","SULF1","LYRM4","C12ORF75","GLIPR1","UBE2S","SDC4","RBM47","EGLN3","SOD1","CDA","IGFBP7","FZD8","RBFOX1","RPL36A-HNRNPH2","ATP8B2"
"337","RGS1","JUNB","MAFB","LIPA","IGF2BP3","GCA","SCARNA13","MSMO1","PLEC","ANGPT1","SCARNA10","PPARG","ZNF749","CDKN1C","RNASE2","LRP1","NDUFB3","LITAF","CLEC2B","CYGB","TEAD4","SCARNA13","SIRPG"
"338","S100A4","SCARNA5","TRPS1","C10ORF10","NFE2L3","NLRC5","BAIAP2L1","FEN1","BCAT1","CFH","EPHA1","ADAP2","CDON","PDGFRB","TNFSF13B","C1S","INPP5A","S100A4","ADRB2","HIST1H4D","SCARNA5","PLXNB2","GCN1L1"
"339","CTSS","SPAG4","PALMD","BST2","FHL2","PLXNC1","CLU","MEST","SCARNA12","ESD","GNG12","TRPV2","TPCN2","CDH13","CLEC2B","FBLN2","RBM11","CPPED1","IKZF2","TPM1","RAPSN","EML1","CCDC109B"
"340","ALOX5AP","CXXC5","PPFIA4","SNORD15A","FRMD4B","GPSM3","RRAS2","GNG2","DEPTOR","HPRT1","AHNAK2","PRDX1","HLA-DPA1","NRSN2","UPP1","SLC8A1","TNNT1","TREML2","HIST1H2AD","VTN","EHBP1L1","PBX1","GLTSCR2"
"341","ZFP36","SLC2A5","PARVA","SULF2","HIST1H4F","SCARNA5","ID3","GTF2A2","FOS","CEP41","MFSD2A","DHCR24","HIST1H2AB","CST3","RGS1","P4HA3","IGF1","MBOAT7","DDX3Y","CRISPLD2","TUBA4A","RASL11A","ALS2CL"
"342","TINAGL1","IL21R","TXNDC5","ADAMTSL4","LGALS1","ACCS","DOCK9","SPAG5","EPS8","RPL5","YAP1","BLVRB","HSPG2","ANXA2","SCARNA6","FGF2","ACOT7","IL6R","TRIB2","ZEB1","LRRC39","TRHDE","MEI1"
"343","VEGFA","CYBA","CRLF1","LGALS1","FERMT2","SNORA53","NR2F6","NMI","NPR3","LDLR","HIST1H1D","BST2","TAP1","AIF1L","JUNB","PKIA","EGLN3","SLC16A3","PLCB2","EGFR","ARID5B","ARHGAP22","CSGALNACT1"
"344","AZGP1","SNORA53","SORBS2","UCP2","TJP1","LYL1","RAB32","PSMA2","SCARNA13","MGAT4A","LGALS1","TCIRG1","HNMT","TUBB2A","CLEC4D","SORBS2","COX6C","ZDHHC18","LIMD2","HIST1H2BI","SCARNA12","SNED1","BTG1"
"345","GIMAP4","PTPN7","ZNF385D","ITGA4","ITGA2","HCG27","TRIB3","DEPDC1","PAPPA","N4BP2L1","UBE2C","KIAA1598","PSAT1","VWA1","GLIPR1","NPNT","FAM107B","SYNE2","PREX1","APBB2","KLHL30","SCARNA12","SPTBN1"
"346","LIMA1","PIK3AP1","LAPTM4B","SMEK2","MXRA7","PRKCZ","PAWR","ELOVL6","SEPP1","ADA","ACOT7","SRGN","LIMA1","PAPLN","SNORA13","ANGPT1","C11ORF1","RPPH1","HIST1H3F","TIMP1","DYSF","NLGN4Y","SNORA55"
"347","ENPP2","TCIRG1","AUTS2","ARHGAP30","SEC14L1","LGALS9","SCARNA12","BUB1B","IER3","FAM212A","MGST1","EPB41L3","BNC2","GLIS2","FAM129B","ANGPTL1","TUBA4A","XPO6","SUN2","SLC16A4","SMTNL1","TMEM47","NGFRAP1"
"348","SCARNA10","ABLIM1","EHD2","CYFIP1","CASP10","ARHGAP33","CDH13","HIST1H1D","LMO7","CAPG","FKBP9","CORO1A","SCARNA10","CELSR2","LIMD2","DHRS3","BOLA3","MANSC1","HIST1H2BG","LGALS1","FAM53B","TWIST1","HIP1R"
"349","AMOTL2","HDAC9","RDH5","IRF5","HIST1H2BE","SCARNA13","HIST1H2AE","RSAD2","PHLDB1","GNAI1","LTBP2","NCF4","ZEB2","CD151","FCGR3A","METRN","PDE5A","SCARNA6","GPR114","SNORA53","FOXO1","SCARNA10","HELB"
"350","SCARNA5","LAMC1","PLCE1","SCARNA12","MARCH3","FCN1","AP1S3","POLE2","DHCR24","NRM","HSPB1","SCARNA5","NCALD","MRPL12","CSRNP1","BCAT1","ZDHHC14","ERBB2IP","FYN","TGFB1I1","TBC1D8","AKR1C2","PLCL1"
"351","ADAMTS1","SPINT2","LAMC1","JAK3","CTHRC1","SCARNA6","PVR","ATF7IP2","TERC","PDRG1","PSD4","ADRBK2","PXDN","FLNB","TMEM154","HMOX1","PTPRE","TRIB1","COL6A2","SLC39A14","ANK2","COL18A1","FOXP1"
"352","IRF8","CTSZ","ZEB1","MARCKSL1","HIST1H4A","FERMT3","BIK","SRGN","CEBPD","EBP","HIST1H2AE","MS4A6A","SH3PXD2B","F2RL2","SNORA53","NCKAP1","IMMP1L","CEBPB","EMB","SCARNA13","DBNDD2","DOK5","INPP5D"
"353","AHNAK","COL9A3","EPS8","HLA-DRB5","KLHL4","LPAR2","ARAP2","EXO1","GAS1","TK1","HIST1H3J","TBC1D2","ROBO2","C14ORF105","TMEM170B","DBN1","GSTA4","SOD2","CXXC5","ARSI","RNF157","FLNA","PIK3CD"
"354","HIST1H3C","UNC93B1","EMILIN1","SCARNA13","HIST1H3J","GPR132","MEX3D","MYB","LTBR","GSTM2","HIST1H2BI","CEBPB","TRPV2","TPM1","ICAM1","DSP","MAP2","CLEC4A","PPP2R2B","SCARNA10","COL6A2","CRLF1","CCDC88B"
"355","CTSH","AKAP2","MAB21L2","SPN","PLEKHG1","SYK","HIST1H2BI","RGS10","DDX3Y","PRKCB","PYCR1","SNORA53","CKS2","C1ORF186","HBA1","SCARNA12","SYP","SNORA78","ATP8A1","KDELR3","METTL7A","FEZ1","SNORA2B"
"356","PLIN2","HLA-C","SCARA3","ALCAM","MYO1C","NOTCH1","SLC38A5","ALAD","FLNA","RPS3","PLEC","AHNAK","SCARNA12","LRRC17","SAT1","SCARNA13","ALDH1A1","DEFA3","LINC00299","SEMA5A","SCN4A","PODN","LDHB"
"357","SCARNA13","SSPN","IL6ST","ARRDC4","RNF144B","PIM1","CTSH","GCHFR","SCARNA5","HSPB1","LTB4R2","MSMO1","C1ORF198","XIST","LILRB4","CHI3L2","NCOA7","ORM1","ADCY7","SCARNA12","FOSL2","CLIC4","SYTL2"
"358","FAM89A","SCARNA7","KAZN","LYN","HIST2H3D","IL34","SMTN","MINPP1","OSR2","RPL21","DSG2","S100A11","PARP14","SCARNA10","MARCKS","CYR61","TUBA8","NHSL2","TXNIP","LMO7","NCKAP1","PHGDH","ICAM2"
"359","RHOB","ELMO1","ITGBL1","RASAL2","HOMER3","EEPD1","KIRREL","LYRM7","HIST1H3C","BAALC","IGFBP6","BCAT1","CD74","SCARNA7","PPP1R15A","FSCN1","HMGN3","JUNB","HIST1H4A","PHLDB1","SCARNA13","IGFBP2","RPL36A"
"360","PXDC1","FUT8","COL16A1","SAT1","AMOTL2","LAIR1","PSAT1","CETN3","SEMA5A","NHP2","LDLR","SCARNA13","GIPC1","MYLK","EMR2","GPC1","NDFIP2","CDKN2D","TSEN54","CDKN2B","CEBPB","SLIT3","ANO9"
"361","TM4SF1","SYVN1","C1GALT1","LITAF","SCARNA10","DAPK1","ITGAV","ZNF706","PRR16","PRIM1","IRX2","SGK1","IL1RAP","RPS6KA1","CHST15","LBH","C14ORF2","GBP5","CEP78","PODN","DVL1","ADAMTS6","VAV1"
"362","CYB5A","NME1-NME2","FBXO32","PTPRO","HIP1R","SIRPA","DST","COQ3","TWIST1","RPL29","NT5DC2","LGALS1","SYT14","ZYX","GAPT","SCUBE3","LIMCH1","ARHGEF40","ADAMTS10","COL10A1","ACTC1","CFB","S1PR4"
"363","VIM","PDLIM1","SCARNA10","CD200","TMEM132A","TGFB1","NBEAL2","PTPRC","PAPSS2","HIST1H1D","ACTN1","RHOC","FASN","NETO1","COTL1","DMPK","TSPAN3","PIK3AP1","HCP5","HIST1H2AI","C1S","DST","HIST1H4J"
"364","TEAD1","SCARNA6","SPTLC3","RPPH1","PRKAR2B","TNK2","MYH14","SPC24","PLAT","SOCS2","SEC14L2","HLA-DQB1","HIST1H4D","ITM2C","LYN","EDN1","BCYRN1","PSTPIP1","ITGAX","TEAD1","SNORD17","S100A13","PRKCB"
"365","SLIT3","SLC25A42","NRP1","HLA-DMB","CFI","SORD","ATP1B1","EIF1B","LDB2","C20ORF96","CKAP4","RPPH1","PTPRM","AREG","NFKBIZ","LGALS1","NME1","LRRC4","NUP210","XAF1","PFKFB3","SELENBP1","GOLGA8A"
"366","TSPAN15","WDR34","CTSK","SIRPA","ZEB1","HVCN1","PALLD","LRR1","AHNAK","CLIC1","FABP5","TYMP","DUSP6","SLC29A1","PYGL","PDGFRB","HSPE1-MOB4","RNF24","METRNL","HIST1H2AD","IGFBP7","AHNAK","UNC13D"
"367","PTPRC","PDE4B","GDF6","MYO1E","CCNB1","IFI30","EVPL","HCLS1","PPL","HRSP12","KRBOX1","WDFY4","TRIM14","DMKN","PELI1","SCARNA10","HSPB1","MRVI1","RRAS2","PTPRK","S100A4","SERPINF1","JUNB"
"368","ANXA1","FCRL3","SCARNA13","ARHGAP22","ST6GAL1","ANKRD13D","HIST1H2AD","NCEH1","NFASC","KCNAB2","SULF2","TUBB6","ACOT7","CAV1","GBP2","MYH2","FABP6","TNFAIP6","RAP1GAP2","AGRN","KIF1B","LOX","MAP4K1"
"369","ALDH2","NEDD9","NCKAP1","CST3","HERC2P3","B3GNT8","C3ORF52","SH3BGRL3","MT1E","ANKRD28","COL18A1","KCTD12","PROS1","PLXND1","SCARNA12","SAA1","TCEAL2","IRF1","HIST1H2BO","MEG8","LMNA","AKAP12","ADAMTS10"
"370","PLOD2","NDNL2","RNF138P1","IL1RN","HIST1H4J","CYFIP2","SCARNA6","CYBRD1","CPE","PAICS","SCARNA13","ADAM9","LPL","CYBA","ZNF385A","TUBA1A","HSP90AB1","SLC40A1","BIN1","CYR61","MYL6B","ANGPTL2","AK5"
"371","CTGF","SLC15A2","BAG2","STAT5A","FBN1","RNF44","AHNAK","OSBP2","PDZRN3","CLK1","SNAI2","SORT1","COL18A1","CADM4","STXBP2","TSPAN7","COX7C","AATK","GPSM3","ID3","SLC38A1","HSBP1","OBSCN"
"372","PNPLA2","RASAL3","TPM1","GRSF1","APBB2","IKZF2","HIST3H2A","BLVRA","ALPK2","PKIG","MYO1E","BIN2","PRSS23","ACTN1","CCDC69","PAPSS2","SOSTDC1","IL13RA1","PVRIG","NFE2L3","HLA-DRA","KLHL13","SPATA13"
"373","DHCR24","RNASE6","AHNAK","NCF1","SCARNA13","NADK","RAB3IP","RPF2","MYH10","FAH","CCNB1","EEPD1","SLC39A6","CAV2","TMEM71","CKAP4","LANCL1","IGF2R","FLNA","BCAR1","GSN","VEPH1","HLA-B"
"374","CRIM1","SMEK2","TUBB6","DUSP4","HIST1H4E","HIP1R","PLEC","ATIC","A2M","RPL10","F11R","FCGR3A","PLK2","NUAK2","SLC43A2","CMAHP","LDHB","IL1RAP","FEZ1","ADAMTS6","PLEC","NES","SEC14L2"
"375","MYO15B","CDK14","METRNL","TUBB6","LIPG","PREX1","APP","IFI30","CD302","RPS16","MAL2","FAIM3","SLC19A2","TSTD1","TMEM176A","LIMA1","ITM2B","DUSP6","PDGFD","FASN","DDIT4L","PDE1A","TTC39C"
"376","UCP2","LY96","NEK10","CD68","CLIC4","PIM2","HOMER3","TUBB6","SRGN","XAF1","TXNDC5","SCARNA12","DDX3Y","ALPK2","C9ORF72","ATOH8","CPT1C","LIN7A","SNORA71B","HIST1H2AL","TMEM52","COL7A1","NLRP1"
"377","STAT5A","MYBL2","SCARNA5","SCARNA6","FADS3","LPCAT2","TNFRSF10A","BRIX1","ZFP36L2","C10ORF54","TSPAN4","LILRB3","MSMO1","GIPC1","LILRA1","DST","MRPS33","PLIN5","LPCAT1","SEMA6D","CLIP4","SVEP1","ACSL6"
"378","LIFR","CIITA","TMTC1","VIM","MARCKSL1","ABTB1","SPHK1","FHL2","CAV2","PYGL","TUBA1C","SLMO2","EPSTI1","SCARNA13","HIAT1","NGFR","STMN1","SCARNA12","SLC38A1","C1R","PGM1","PHLDA3","CCDC64"
"379","TIMP2","PRDM15","ANXA2","CTNNAL1","SCARNA12","MIR1306","ITGA2","CD37","ALDH1L2","FLI1","CCND2","NME1-NME2","HIST1H2AH","CDHR1","LRMP","DYSF","NELL1","ANKRD44","TMC6","HIST1H4B","TSPAN7","TSPAN4","SUN2"
"380","HIST1H3B","ANKRD44","CYTL1","FABP3","SHANK3","SCARNA7","ACBD6","SPINT2","ASNS","FRMD4B","EHD2","IER3","MYH10","SCARNA12","HPSE","WNT5B","DGKH","SIRPA","RASGRP1","ACTN1","AMY2B","APP","NLRC3"
"381","FAM134B","TP53INP1","DRAM1","FAM129B","EFNB2","MS4A3","STXBP2","NME1-NME2","IFITM2","ISYNA1","AFAP1L2","DFNA5","SYNGR1","FAM84B","QPCT","YAP1","ZNF706","MXD3","HIST1H2BB","HIST1H3E","TIMP3","PDLIM3","CDC14A"
"382","DTX1","DUSP2","PCDHGC3","MOB1B","EHD4","LRWD1","MPZL3","ACSM3","ITGA3","CLU","NNMT","GCHFR","ANLN","FLNA","VIM","RBM24","C11ORF74","SIGLEC14","HIST1H2BF","MYOF","PDLIM7","PALLD","AKNA"
"383","AGPAT2","ZNF532","WISP1","TOMM34","FAM174B","HIST1H3B","CCND2","HMGN3","CDC42EP5","GPR75-ASB3","B4GALT2","LMNA","CBR3","LMNA","RAB31","PCDH18","BEX4","ALPK1","HIST2H2AB","PCDH10","ACAT1","MYO1B","IFITM2"
"384","CYBRD1","RASSF5","RPS6KA2","ACP5","RPS6KA2","RGL4","HIST1H1D","PIP4K2A","PCOLCE2","GSTM3","MYOF","PLXND1","HIST1H4I","MDFI","EGR1","RGMB","TAF9","MEGF9","LIME1","HIST1H2BO","MITF","ATP8B1","LDLRAP1"
"385","IRAK3","FAM214A","KALRN","ADAM9","HIST1H2AM","VAV1","BASP1","APEX1","APOE","PSMB5","PGF","LITAF","MCC","HIST1H2AB","CLEC10A","GFPT2","RTN4","SMAP2","ITGA4","GPX8","EGLN1","QSOX1","STK17B"
"386","TSPAN4","HSPA1B","PDK3","SEMA3C","ARAP3","CNTNAP3","CDH2","RNMTL1","HIST1H3E","GAS5","KRT8","SLC31A2","LDLR","F2RL1","LILRB3","C1ORF198","NDUFS4","KIAA1324","HIST1H3B","LYPD1","LAPTM4B","RPL38","INADL"
"387","MLXIPL","AES","CAPG","LYST","MANSC1","INADL","ACTN1","PPIL1","HSD11B1","APBB1IP","LTBR","RIN2","PLSCR1","SLC1A5","ADM","NEDD8-MDP1","ACSL6","SIPA1L2","HIST1H3I","MYO1C","SERPING1","MRGPRF","LPAR6"
"388","ATP1A2","HLA-DQB2","GLT8D2","GBP5","SEMA3F","MIR223","SLC35F2","MRPL39","CNN2","GYPC","AMIGO2","RAB31","CYGB","VASN","NRD1","ANXA1","DST","AMPD2","C16ORF54","NREP","OPTN","TNFAIP6","GOLGA8B"
"389","CRISPLD2","MAPK8IP3","FAM134B","FCER2","SNRK","STMN3","GPRC5C","TXN","CITED2","BANF1","EPS8L2","PDK4","SP110","CADM1","MEF2C","DCLK1","HLTF","SNORA15","SLFN5","CNN2","DHRS7C","SLC16A4","SERINC5"
"390","BST2","CDCA7L","C1ORF21","MSMO1","DLC1","ESYT1","UPK1B","CASP6","TUSC3","EEF1A1","CAPG","ZEB2","PIK3CD","HIST1H4B","CD300C","FKBP9","PPA1","SCARNA8","LAIR1","SVEP1","JUP","KAZALD1","FMNL1"
"391","SCARNA12","SEMA4B","GCNT1","SQLE","ASRGL1","FAAH","QPRT","UBE2V2","ACTN1","PHB","SNCA","SCARB2","SORBS2","PPDPF","TCIRG1","PLCB4","FAM162A","FCGR1B","SNORA69","SLC1A5","NFIC","TNS1","RPS18"
"392","SPTBN1","CKAP4","TGFBR1","PRKAR2B","MT1E","POLR2J2","MYH10","EMP2","ITGBL1","ATIC","PALLD","UCHL1","SERINC5","RAB3B","ZEB2-AS1","INHBA","LAPTM4B","TBC1D10C","GPR65","MSMO1","SUN2","FST","RPL10A"
"393","PTPRM","BICD1","PLEC","CTSC","AHNAK","MFSD6L","STARD10","TMEM56","NFIX","GGCT","KIAA1522","TSPAN4","DDX60L","FZD2","PFKFB3","ADAMTS12","SCOC","SLC19A1","KLF12","LAPTM4B","HSPG2","FRRS1","PYHIN1"
"394","GCHFR","FAM3C","GLIS3","ANXA2","GRAPL","NTNG2","IGFBP6","CCNA2","DPYSL2","RPP40","ANO1","ACSL1","HIST1H4B","HMGA1","VAMP8","SEPT4","RBFOX2","SLC8A1","JUNB","CLIC4","NDUFA7","ACOX2","ATM"
"395","AGTR1","PLEKHG1","GALNT1","EGLN3","INPP5D","GSDMB","SGPP2","HLTF","DPP4","TMEM173","GIPC1","CREG1","SORT1","RAC2","RAB20","CLMP","ADAM23","F2RL1","TNFRSF1B","CD44","LPIN1","ABCA9","TNFAIP8"
"396","FKBP9","TXNIP","KAZALD1","HLA-DMA","RGS4","ARAP1","BCAR1","SLC38A6","ADAMTSL1","ERO1L","NPM3","EVL","RBFOX2","GFRA1","ANXA1","ABCA8","NCKAP1","FERMT3","GBP4","FADS1","TFEB","SLC9A7","ARRB2"
"397","ACSS3","IRF1","RBMS3","PEA15","HIST1H2AE","BHLHE40","PGF","CPOX","ITGA11","PEBP1","PHLDA2","CLIP4","ANXA2","RRAD","EMB","CD151","SPTSSA","KLF2","FERMT3","CD276","CTTN","ADAM9","HIST1H3D"
"398","DOCK11","SH2B2","GULP1","DOCK2","PAWR","MYO1G","HIST4H4","ITGA4","CDC42EP1","HSP90AB1","S100A13","IRF5","BST2","TSPAN4","PLK3","CLEC11A","EEF1E1","CYSTM1","LGR6","TNFAIP6","LAMA2","ITGA4","RPL5"
"399","ITM2A","TSPAN33","MEG8","SPINT1","TANC1","RNF144B","C12ORF75","TPGS2","PARVA","PSMB9","SLC6A15","FAM198B","IFI35","PLCD3","KLF10","TMEM8C","MOCS2","IL16","HIST1H2BE","DSCR8","PLIN5","METTL7A","TMEM204"
"400","CNTFR","SCARNA12","FRMD4B","MYO1C","MYO10","KDM5D","FLNA","ID2","ITGB1","LRRC70","SPARC","TSPAN3","SNORA53","LRRC61","TFEC","ENAH","EPS8L2","TCIRG1","SELT","FMNL1","SLC29A2","EPS8","MYO1G"
"401","CDKN1A","ENTPD1","SCARNA12","FKBP1B","HIST1H3H","ACOT11","CBLC","CISD2","DMKN","SLC25A5","ITPR3","PLD3","MYC","ALDH1A2","CDKN1C","APOE","ITGB1BP1","LIMD2","SEMA4D","F2R","CAMK2B","VIM","ACTN1"
"402","SOD3","FAM129C","C10ORF10","IGF2BP3","PDLIM1","ATP8B2","ITGB1","MCM7","RAC2","PTPLA","HIST1H4D","PRKCB","HR","TUBA1C","AREG","ITGB1","TCEAL4","ACTN1","ANKRD44","HIST1H3H","IFI27","HIST1H2AB","MAN1C1"
"403","ICAM2","ODF3B","RASD1","MGST1","C1ORF54","CKLF-CMTM1","C8ORF4","GLRX","CCBE1","PSMB8","IGSF3","DOCK8","HIST2H2BF","MGP","CAPG","AK4","ARHGAP12","CEBPD","SYNE1","TMEM2","JPH2","SLC6A15","SESN3"
"404","EGFR","GRAPL","VIM","ZEB2","GRASP","PBXIP1","FADS2","DTL","CDH2","SNRPN","HIST1H2AJ","MGAT1","AHNAK","RBM47","HAVCR2","CDKN2A","HSPH1","CKAP4","HIST2H3D","ECE1","ZEB1","GFPT2","SIDT1"
"405","RPL13AP5","RBM38","SGMS2","RHOC","ITGB5","HRH4","PTGES","ACOT13","QSOX1","HLA-DMB","WNT7A","ITGAL","POLR3G","LRRC20","SNHG15","NOG","SYNGR3","WLS","ZEB2","G0S2","CAV1","NEAT1","SNORA11D"
"406","CSF1R","RIC3","MYO1C","NEK6","CLEC2B","DUSP6","HIST1H3I","CASC5","KAZALD1","TALDO1","PLTP","SCARNA6","ANKRD44","HOMER2","ANXA2","ADAM9","PRNP","COL18A1","IL16","SOD3","TSPAN3","PMP22","FAM107B"
"407","ECM2","RPL37","ENPP1","RRAGD","MYO1B","GSTM4","DDX3Y","EIF2S1","NREP","ZBTB16","IL18","GALM","HIST2H2AA4","CERCAM","ARL4C","CCBE1","HSPE1","RNF149","MXRA7","VIM","MYO18A","BICC1","SNORA11E"
"408","MRAS","ENO2","PLEKHH2","RAB33A","LYVE1","TAGAP","TJP1","SLC25A39","RAB34","GLIPR1","CSF2","CYBA","MARCKSL1","IGF2","ARHGAP30","IL6ST","OSBPL1A","TNFSF13B","HIST1H2AE","ATP8B2","C1ORF21","HIST1H4H","LMO7"
"409","PFKFB3","MFNG","GEM","GZMA","USHBP1","HLA-B","VWA1","PSTPIP2","ZEB1","OSTC","SEMA4B","SAMHD1","IER3","LBH","MIR22HG","P2RX6","MALAT1","SOCS3","HIST1H2AM","FABP3","HOMER2","DACT1","CTSW"
